id,secao,dimensao,componente,esperado,encontrado,status,severidade,evidencia,acao
R02-09,02_backend,VERSÃO,Storage buckets,Buckets coerentes com uso,"13 buckets; 6 públicos (audio-memes, avatars, custom-emojis, recibos-entrega, stickers + whatsapp-media é privado)",OK,P2,02 Etapa 31 (storage.buckets),Conferir RLS/policies dos buckets públicos (fase segurança)
R02-10,02_backend,VERSÃO,Auth: paridade users×profiles×identities,19 users / 19 profiles / identities ok,19 users = 19 profiles (paridade OK); 19×14 identities → 5 usuários SEM identity,WARN,P2,"02 Etapa 32 (auth.users/identities, zapp.profiles)",Auditar os 5 usuários sem identity (órfãos/limpeza)
R02-11,02_backend,VERSÃO,Migrations registradas,Histórico íntegro,92 registradas; última 20260804140000 (fix_rls_delta_corrigido); squash canonical presente; sem pendência visível na tabela,OK,-,02 Etapa 33 (schema_migrations),Ver 05 (3-way: 88 sem arquivo no repo)
R02-12,02_backend,VERSÃO,GUCs app./pgrst. no banco,Configurados no PostgREST (não no DB),0 GUCs app.*/pgrst.* em pg_settings — config vive no container (esperado),OK,-,02 Etapa 34 (pg_settings),—
R02-13,02_backend,VERSÃO,Vault secrets,Vault populado,30 secrets em vault.secrets (pgsodium),OK,-,02 Etapa 35; 06 §69,—
R02-14,02_backend,VERSÃO,public com 511 views,Camada de exposição justificada,public: 4 tabelas + 511 views (camada backcompat atípica),OK,P2,02 Etapa 27 (pg_class),Auditar origem/necessidade das 511 views (possível simplificação)
R03-01,03_config,CONFIG,JWT secret consistente (auth×rest×storage×functions×realtime×kong×db×supavisor),Mesmo secret em todos,Secret único supabase_jwt_secret_v1 (fp conteúdo b6177a99676f) == literal do compose; auth/storage/functions/realtime/kong/supavisor leem o secret file; rest/db/studio usam literal (mesmo valor),OK,-,03 #35; 06 §68 (fingerprints in-container); 10 V1,Centralizar: remover literais do compose (rest/db/studio/realtime METRICS) — evita P0 futuro na rotação
R03-02,03_config,CONFIG,anon/service_role keys válidas e assinadas,"role correta, sig válida, exp futuro",ANON/SERVICE payload role correto (exp 2029-05-07); HMAC-SHA256 OK (openssl in-container + verificação local True); REST/storage 200 com anon key,OK,-,03 #36; 10 V6 (assinatura verificada),Planejar rotação antes de 2029-05 (P2); chave por ambiente
R03-03,03_config,CONFIG,PGRST_DB_SCHEMAS cobre schemas usados,Schemas do front + edges expostos,"PGRST_DB_SCHEMAS=public,zapp,storage,graphql_public,artes,vendas,financeiro — os 7 EXISTEM no DB; porém `evo` NÃO exposto e edge functions usam /rest/v1/evolution_messages (schema evo) → 406 PGRST106 (ver R08-04)",WARN,P1,03 #37/#49; 08 §88 (logs functions+kong 406); 10 V2,Resolver exposição do schema evo OU migrar edges p/ schema exposto (decisão de arquitetura; ver R08-04)
R03-04,03_config,CONFIG,Superfície cross-tenant (zapp+artes+vendas+financeiro no mesmo PostgREST),Isolamento por RLS,"RLS 100% habilitado (zapp 321/321, artes 2/2, vendas 14/14, financeiro 16/16); policies: zapp 736, financeiro 46, vendas 28, artes 5; anon/service_role sem LOGIN",OK,P2,"03 #38 (pg_policies, pg_roles)",Documentar dependência do isolamento em RLS; avaliar service_role por domínio/BFF
R03-05,03_config,CONFIG,PGRST_DB_URI (rest) host/porta/role,"db:5432, role authenticator",postgres://authenticator:***@db:5432/postgres; login authenticator OK; PGRST_DB_ANON_ROLE=anon,OK,-,03 #39 (exec db: AUTHENTICATOR_OK),—
R03-06,03_config,CONFIG,Edge DB URL aponta mesmo backend; db-client força schema zapp,SUPABASE_URL/DB_URL → mesmo Supabase,"functions: SUPABASE_URL=http://kong:8000 (interno), SUPABASE_DB_URL=postgresql://postgres:***@db:5432/postgres (mesmo backend); SELFHOSTED_SUPABASE_URL=https://supabase.atomicabr.com.br; db-client.ts prioriza SELFHOSTED e força db:{schema:'zapp'}",OK,-,03 #40; 10 V5,—
R03-07,03_config,CONFIG,GoTrue SITE_URL / URI_ALLOW_LIST,Domínio prod do front; sem localhost,"GOTRUE_SITE_URL=https://zapp.atomicabr.com.br == domínio prod; allowlist sem localhost; inclui 2 domínios legados (whats-your-line.lovable.app, zapp-web-v3.vercel.app)",OK,P2,03 #41 (exec auth; stack 157; grep repo),Remover domínios legados da allowlist quando desativados
R03-08,03_config,CONFIG,Provedores externos (Google) configurados,GOTRUE_EXTERNAL_GOOGLE_ENABLED=true + credenciais,"GOTRUE_EXTERNAL_GOOGLE_ENABLED vazio; client id/secret vazios (fp e3b0c44298fc); EMAIL_ENABLED=true, DISABLE_SIGNUP=true",FAIL,P1,03 #42 (exec auth: GOOGLE_ENABLED= vazio),Configurar OAuth Google (se login Gmail é requisito) ou documentar como intencional
R03-09,03_config,CONFIG,Storage backend + imgproxy coerentes,file/S3 definido; imgproxy com chave,STORAGE_BACKEND=file → /var/lib/storage; imgproxy local filesystem coerente; IMGPROXY_KEY VAZIO (URLs de imagem não assinadas),OK,P2,03 #43 (exec storage; storage.buckets),Definir IMGPROXY_KEY/SALT; validar os 8 buckets vazios (ver R07-10)
R03-10,03_config,CONFIG,Kong rotas × serviços vivos,Toda rota aponta p/ serviço running,kong 3.9.x declarativo; upstreams auth:9999/rest:3000/realtime:4000/storage:5000/functions:9000 todos running; /pg protegido (401 com apikey anon),OK,-,03 #44 (exec kong /tmp/kong.yml; list_containers),—
R03-11,03_config,CONFIG,Realtime DB_HOST/schema/tenant,"db:5432, usuário replicação","DB_HOST=db, DB_USER=supabase_admin, wal_level=logical, slots ativos, _realtime populado; SEED_SELF_HOST=true",OK,-,03 #45 (env realtime; pg_settings),—
R03-12,03_config,CONFIG,Analytics/vector/logflare,"Mesma API key, backend _supabase",logflare 1.43.1 + vector 0.53 com mesma API key (fp bd16beb552ef); studio NEXT_ANALYTICS_BACKEND_PROVIDER=logflare; logflare_pub puballtables,OK,-,03 #46 (env analytics/vector/studio; pg_publication),—
R03-13,03_config,CONFIG,Pooler/supavisor modo/porta/credenciais,"transaction, tenant ok, enc key real","POOLER_POOL_MODE=transaction, tenant 1, pool 20/max 100; VAULT_ENC_KEY=your-encryption-key-32-chars-min (PLACEHOLDER)",OK,P2,03 #47 (env supavisor; exec pooler.exs),Trocar VAULT_ENC_KEY por chave real (criptografa credenciais de tenants) — com cuidado p/ não invalidar tenants existentes
R03-14,03_config,CONFIG,Timezone/locale/encoding,"BR, UTF8","TimeZone=America/Sao_Paulo, UTF8, C.UTF-8; PG 15.8",OK,-,03 #48 (current_setting),—
R03-15,03_config,CONFIG,Cross-check env↔DB (PGRST_DB_SCHEMAS existem),100% dos schemas expostos existem,Todos os 7 existem no pg_namespace (28 schemas),OK,-,03 #49; 10 V2,—
R04-01,04_artefatos,ARTEFATO,Front image × repo (etapa 51),Prod == HEAD auditado ou mais novo,T0: production-a1d01703d1ce == HEAD local (byte-exato); T1 (atual): production-b58d2575f778 à frente do checkout (pipeline ativo; 2 builds/35min) — prod NÃO stale,OK,-,04 §51 (tags/digests; rollover durante auditoria),git fetch no checkout local; nenhum redeploy necessário
R04-02,04_artefatos,ARTEFATO,Env baked no bundle (etapa 52),SUPABASE_URL self-hosted; sem Lovable,44 ocorrências de supabase.atomicabr.com.br no bundle; prefixo JWT HS256 presente; nenhum domínio Lovable/cloud na amostra,OK,-,04 §52 (grep no container web),—
R04-03,04_artefatos,ARTEFATO,Nomes invoke/rpc no bundle (etapa 53),Top-level com função no disk,60 invoke + 40 rpc distintos na amostra; todos os top-level têm função no disk (ver R04-05),OK,-,04 §53 (grep bundle),—
R04-04,04_artefatos,ARTEFATO,Edge functions disk × repo (etapa 54),120 deployadas == 121 no repo,"115 byte-idênticas; 5 STALE (ai-suggest-reply, elevenlabs-sts, elevenlabs-voice, gmail-token-refresh, public-api — hashes divergem); 0 ORPHAN; _test sem index.ts (não deployável)",FAIL,P1,04 §54 (sha256sum index.ts disk×repo),Reconciliar as 5 STALE (decidir por função: prod standalone vs repo fix; nunca deploy isolado sem _shared)
R04-05,04_artefatos,ARTEFATO,Cobertura funções invocadas × disk (etapa 55),100% das funções do front no runtime,55 top-level invocadas: TODAS no disk (100%); ressalva: 2 sub-rotas evolution-api quebram (R04-06),OK,-,04 §55 (grep src + bundle × disk),—
R04-06,04_artefatos,ARTEFATO,Sub-rotas evolution-api (etapa 56),Handlers existem no repo E no disk,"find-status-messages e send-chat-presence AUSENTES em ambos (grep -c = 0; repo==disk byte-idêntico, 19.565 B) → 404 'Unknown action' no fallback do router; front WIRED (whatsappStatusService L111-112)",FAIL,P1,04 §56 (grep -c on-disk; call sites whatsappStatusRepository.ts:84/91),Adicionar handlers (proxy /chat/findStatus e /chat/sendPresence) e deployar — redeploy do repo NÃO resolve sozinho
R04-07,04_artefatos,ARTEFATO,Orphans edge functions,Zero funções deployadas sem correspondência no repo,0 ORPHAN (higiene boa; junk e2e-* e external-db-bridge ausentes de ambos os lados),OK,-,04 §54,—
R05-01,05_migracao,MIGRAÇÃO,Migração 3-way (arquivos × schema_migrations × objetos),Alinhamento total,8 arquivos no repo × 92 registros no DB; 88 aplicadas SEM arquivo; 4 arquivos SEM registro (DDL já materializado via MCP); canonical cobre 3-8% dos objetos — DB é a única fonte completa,WARN,P1,05 §1.1/1.4 (inventário + pg_catalog),Registrar os 4 arquivos pendentes em schema_migrations (após resolver colisão R05-02)
R05-02,05_migracao,MIGRAÇÃO,Versões de migration únicas,Sem colisão (version é PK),20260804150000_fix_secdef_revoke_extended_schemas.sql E 20260804150000_integration_schema_zapp_fixes.sql compartilham a MESMA versão,FAIL,P1,05 §1.2 (mapa arquivo × registro),Renomear um arquivo p/ 20260804150001 antes de registrar
R05-03,05_migracao,MIGRAÇÃO,REVOKEs de segurança efetivados,authenticated sem EXECUTE em funções sensíveis,financeiro.apagar_nota_fiscal(uuid) AINDA executável por authenticated (REVOKE da migration 150000_secdef NÃO efetivou) — único resíduo dos 8 REVOKEs,FAIL,P1,05 §1.3 (pg_proc proacl: auth_exec=true),REVOKE EXECUTE ON FUNCTION financeiro.apagar_nota_fiscal(uuid) FROM authenticated
R05-04,05_migracao,MIGRAÇÃO,Policies da migration 160000 materializadas,6 policies admin DML existem,NENHUMA das 6 (ai_hf_config_admin_dml etc.) existe; cobertura alternativa parcial (auth_secure_* + service_full_access); front não grava em ai.*,WARN,P1,05 §1.3 (pg_policies = 0 hits),Decidir: aplicar as policies ou arquivar o arquivo com nota — nunca deixar órfã
R05-05,05_migracao,MIGRAÇÃO,Canonical cobre o caminho crítico,Ambiente novo reconstruível,"canonical (16.375 linhas) cobre 3,7% tabelas/views, 8,5% funções, 3,5% triggers; AUSENTES: views zapp.contacts/messages/conversations, app_notifications, 15 triggers INSTEAD OF, fn_safe_audit_log, rpc_schema_tables/columns, fn_edge_* — env fresco quebraria sem baseline",FAIL,P1,05 §1.4 (pg_catalog × arquivo canonical),Migration follow-up com objetos críticos; baseline pg_dump como fonte de reconstrução (R05-06)
R05-06,05_migracao,MIGRAÇÃO,DB-as-source formalizado,Processo de reconstrução documentado,"Mecanismo oficial JÁ EXISTE (supabase/ci/download-baseline.sh: pg_dump --schema-only de prod, baseline-schema-2026-08-04.sql.gz, checksum, R2 14d); falta formalizar como canônico",WARN,P1,05 §1.5 (ci/README + baseline),Documentar DB-as-source como política; migrations = change log parcial
R05-07,05_migracao,MIGRAÇÃO,Extensões × requisitos (etapa 58),Todas as 8 requisitadas presentes,21 instaladas; pg_cron/pg_net/pgcrypto/uuid-ossp/pg_graphql/vector/pgjwt presentes; http ausente = intencional (teste exige pg_net),OK,-,05 §2 (pg_extension × uso no repo),—
R05-08,05_migracao,MIGRAÇÃO,types.ts × DB (etapa 59),Zero drift nas tabelas-chave,"zapp.profiles 26=26, contacts 50=50, messages 52=52, conversations 19=19; storage.objects fora do types.ts (SDK FileObject — esperado)",OK,-,05 §3 (information_schema × types.ts),—
R05-09,05_migracao,MIGRAÇÃO,SECURITY DEFINER: search_path e owner (etapa 60),100% com search_path fixo,"727 secdef (zapp 703, public 24); 100% com search_path (proconfig + amostra 32/32 corpos); owners postgres 484 / supabase_admin 243 (ambos privilegiados)",OK,P2,05 §4 (pg_proc prosecdef/proconfig; pg_get_functiondef),Padronizar owner de DDL nas próximas migrations (auditoria)
R05-10,05_migracao,MIGRAÇÃO,Triggers INSTEAD OF ativos (etapa 61),15 triggers I/U/D nas 5 views graváveis,"15 triggers, todos tgenabled='O', handlers SECURITY DEFINER com search_path fixo; load-bearing p/ escrita via PostgREST em zapp.contacts/messages, public.*, app_notifications",OK,-,05 §5 (pg_trigger tgtype&64),Incluir no follow-up do canonical (R05-05)
R05-11,05_migracao,MIGRAÇÃO,dblink sem uso ativo,Extensão só se usada,dblink 1.2 habilitada via migration; sem uso ativo em código (só tipos em types.ts),WARN,P2,05 §2 (extras),Reavaliar necessidade (superfície de ataque desnecessária)
R06-01,06_segredos,SEGREDO,Envs por serviço coerentes; secrets centralizados,Core com docker secrets,db/auth/storage/functions/realtime/meta/kong/pooler com envs coerentes; secrets em /run/secrets (única exceção: rest com literais no env),OK,-,06 §65 (/proc/1/environ; /run/secrets),Ver R01-09 (migrar rest p/ secret)
R06-02,06_segredos,SEGREDO,Envs exigidos pelo código × env do functions,Todos os Deno.env.get presentes,"~30 nomes AUSENTES: AI_GATEWAY_KEY, LOVABLE_API_KEY, WEBHOOK_SECRET, GOOGLE_CLIENT_ID/SECRET, EXTERNAL_SUPABASE_*, RESEND_API_KEY, WHATSAPP_CLOUD_*, CRON_SECRET, GMAIL_PUBSUB_*, SICOOB_*, MICROSOFT_*, BITRIX_*, VIRUSTOTAL_API_KEY, ELEVENLABS_WEBHOOK_SECRET, IMAP_ENCRYPTION_KEY, HEALTH_SECRET, METRICS_SCRAPE_TOKEN, TALKX_INTERNAL_SECRET, SLA_ALERT_WEBHOOK_SECRET, QR_ALERT_*…",FAIL,P1,06 §66 (grep Deno.env.get × /proc/1/environ),Injetar segredos por feature (grupos R06-03..R06-09) via docker secrets + service update functions
R06-03,06_segredos,SEGREDO,Gmail (5 edges),GOOGLE_CLIENT_ID/SECRET + GMAIL_PUBSUB_* presentes,"AUSENTES (gmail-oauth, gmail-send, gmail-sync, gmail-token-refresh, gmail-webhook) — feature QUEBRADA",FAIL,P1,06 §67 (mapeamento feature→segredo),Credencial Google OAuth (3º) + configurar PubSub topic
R06-04,06_segredos,SEGREDO,IA principal + fallback (ai-proxy/ai-router/chatbots),DEEPSEEK + fallback OpenAI/Anthropic/gateway,DeepSeek ✅ (fp e9854021…) e AI_ROUTER_URL ✅ funcionam; fallback OpenAI/Anthropic e AI_GATEWAY_KEY/LOVABLE_API_KEY ausentes; vault sem openai/anthropic — PARCIAL,WARN,P1,06 §67/§69 (env + vault),Decidir se fallback é requisito; popular vault e/ou envs
R06-05,06_segredos,SEGREDO,WhatsApp Cloud API + legado,WHATSAPP_CLOUD_* + WHATSAPP_VERIFY_TOKEN/APP_SECRET,AUSENTES — whatsapp-cloud-webhook/send/connection-test QUEBRADOS; whatsapp-webhook DEGRADADO (validação assinatura Meta inócua),FAIL,P1,06 §67/§72 (env ausente; x-hub-signature-256 sem validação),Credencial Meta Cloud (3º); habilitar verificação de assinatura
R06-06,06_segredos,SEGREDO,E-mail transacional (Resend),RESEND_API_KEY presente,"AUSENTE — send-email, send-scheduled-report, sentiment-alert, detect-new-device QUEBRADOS",FAIL,P1,06 §67 (env ausente),Credencial Resend (3º)
R06-07,06_segredos,SEGREDO,Bitrix24 CRM,BITRIX_WEBHOOK_URL/BITRIX_PORTAL,"AUSENTES (env e vault) — bitrix-api, evolution-bitrix-sync QUEBRADOS",FAIL,P1,06 §67/§69 (vault sem bitrix_webhook_url),Credencial Bitrix (3º)
R06-08,06_segredos,SEGREDO,SICOOB gifts (P0-5),SICOOB_GIFTS_URL + BRIDGE_SECRET,"AUSENTES — sicoob-bridge-reply, sicoob-outbox-consumer QUEBRADOS",FAIL,P1,06 §67 (env ausente),Credencial/endpoint SICOOB (3º)
R06-09,06_segredos,SEGREDO,Endpoints internos health/metrics autenticados,HEALTH_SECRET/METRICS_SCRAPE_TOKEN presentes,AUSENTES — health/metrics/talkx-control sem auth de segredo (EXPOSIÇÃO),FAIL,P1,06 §67 (env ausente),Gerar segredos e exigir bearer nos endpoints internos
R06-10,06_segredos,SEGREDO,JWT secret consistente cross-container,Fingerprints iguais,JWT: db/auth/functions/storage/realtime/kong = 1bf6b61a79c2fff5 (arquivo c/ \n); rest = b6177a99676f5b78 (sem \n) — MESMO VALOR (diferença = newline),OK,-,06 §68 (sha256sum in-container); 10 V1,—
R06-11,06_segredos,SEGREDO,Senha do DB consistente,Fingerprints iguais,Senha DB: 68e9cc05b736c478 (arquivo c/ \n) vs b0e6e79fbc9dd276 (URL sem \n) — MESMO VALOR (psql select 1 OK nas duas variantes),OK,-,06 §68 (teste psql autenticando),—
R06-12,06_segredos,SEGREDO,Secrets sem trailing newline (R-01),Arquivos terminam em byte imprimível,"supabase_db_password_v1 (33B), supabase_jwt_secret_v1 (41B), supabase_service_key_v1 (204B) terminam em 0a; entrypoint injeta env com \n; consumidores SEM trim (db-client.ts, vault.ts, ai-usage.ts, evolution-webhook-messages.ts:303…)",WARN,P1,06 §R-01 (od/wc -c in-container; /proc/1/environ),Recriar os 3 secrets com printf '%s' (sem \n) e padronizar trim na leitura
R06-13,06_segredos,SEGREDO,Env == secret montado (R-02),Fingerprint env == fingerprint arquivo,EVOLUTION_API_KEY (env 66b7dd131ac869ab ≠ arquivo 94ffabbaf641ee47) e EVOLUTION_WEBHOOK_SECRETS (env caa97aabbe968c4f ≠ arquivo d0a3d0c8b35c9343) DIVERGEM,WARN,P2,06 §68/§R-02 (fingerprints),Validar qual valor a instância Evolution aceita e alinhar (16 edges dependem)
R06-14,06_segredos,SEGREDO,Vault cobre o que o código lê,getSecret() sempre resolve,"30 secrets; código usa 5 nomes; AUSENTES do vault: openai_api_key, anthropic_api_key, hf_api_token, bitrix_webhook_url (fallback IA, transcrição HF, Bitrix sem credencial)",WARN,P2,06 §69 (vault.secrets × getSecret()),Popular vault (credenciais 3º)
R06-15,06_segredos,SEGREDO,Zero hardcoded no repo,Nenhum segredo real em código,"0 hits reais; 1 fixture de teste em _shared/__tests__/log-sanitizer.test.ts:112 (fake, truncado); .gitleaks.toml presente",OK,-,06 §70; 10 V10 (grep src+functions),—
R06-16,06_segredos,SEGREDO,Rotação/idade dos tokens,Nenhum token expirado; rotação ativa,Anon key expira 2029-05-07 (válida); JWT_EXP=8h; Evolution v4 (04/07) e DeepSeek v2 rotacionados; db/jwt/service keys em v1 sem data — agendar v2,OK,P2,06 §71 (payloads; nomes de secrets),Agendar rotação v2 após corrigir R-01 (R06-12)
R06-17,06_segredos,SEGREDO,HMAC webhook Evolution íntegro,Segredo presente + strict on + trim,"EVOLUTION_WEBHOOK_SECRETS presente (88B), STRICT_MODE default true, validação com .trim(); fallback singular funcional; recheck-webhook-signature NÃO lê o plural (degradado)",OK,P2,06 §72 (env + código),Alinhar recheck-webhook-signature ao plural
R06-18,06_segredos,SEGREDO,Webhooks de terceiros assinados,ElevenLabs/SLA/Meta validam HMAC,"ELEVENLABS_WEBHOOK_SECRET ausente (validação inócua — fail-open), SLA_ALERT_WEBHOOK_SECRET ausente (sem assinatura), WHATSAPP_CLOUD_APP_SECRET ausente (sem validação Meta)",FAIL,P2,06 §72 (expectedToken vazio; sem x-hub-signature-256 check),Gerar segredos e habilitar verificação (elevenlabs/sla/meta)
R06-19,06_segredos,SEGREDO,CORS front → edges/auth/Kong,Origem do front permitida em todas as camadas,Edges allowlist inclui zapp.atomicabr.com.br ✅; GoTrue allowlist inclui ✅; Kong cors default '*' (permissivo — defesa em profundidade recomendada),OK,P3,06 §73 (cors.ts; GOTRUE_URI_ALLOW_LIST; kong.yml),Fixar origins no kong.yml
R07-01,07_dados,DADO,Órfãos auth×profiles (etapa 75),0 órfãos reais,19 users = 19 profiles; 0 órfãos via user_id (FK real); 19 'órfãos' só no join por id (convenção: profiles.id ≠ users.id) — falso positivo do enunciado,OK,-,07 §75 (LEFT JOINs),—
R07-02,07_dados,DADO,Cron execução 7d (etapa 76),Taxa de falha ~0%,"29.940 succeeded / 28 failed (0,09%) em 7d; único com falha 24h: jobid 44 (removido; erro evo.mv_daily_kpis inexistente); cluster antigo de startup-timeout (14, nenhum recente)",OK,P3,07 §76 (cron.job_run_details),Limpar histórico do jobid 44; verificar referências a evo.mv_daily_kpis
R07-03,07_dados,DADO,Worker pg_cron fresco (etapa 77),Último run recente,Último run 2026-08-04T18:08Z (minutos antes da coleta); atraso < 1 min; 29.955 runs históricos,OK,-,07 §77 (max(start_time)); 10 V8,—
R07-04,07_dados,DADO,pg_net egress 24h (etapa 78),Taxa de erro baixa,"161 respostas: 130×200 (80,7%), 26×400 (16,1%), 5×404 (3,1%) = 19% de erro; corpo 'Bad Request [object Object]'; sem timeouts",WARN,P2,07 §78 (net._http_response),Correlacionar os 26×400 com logs Evolution/webhook_events para achar payload rejeitado
