path;classe;justificativa;consumidores;destino_path;etapa
docs/AGENT_INSTRUCTIONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ANALISE_BACKEND_PROFUNDA.md;FICA;doc estrutural — revisao Fase 3;;;
docs/API_CONTRACT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ARCHITECTURE_AND_FLOW.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ARCHITECTURE_RLS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ARCHITECTURE_SCHEMAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_BACKEND_SENIOR_2026-07-11.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_COMPLETA_ZAPP_WEB.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_EVOLUTION_API_ONDA4_20260808.md;ARQUIVA;Auditoria concluída (onda 4, 2026-08-08) sem nenhum link de entrada no repo, histórico puro -> docs/_archive/.;nenhum (0 links de entrada);docs/_archive/AUDITORIA_EVOLUTION_API_ONDA4_20260808.md;E28
docs/AUDITORIA_FORENSE_20260706.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_INFRA_20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_LOVABLE_VS_ZAPP_2026-07-04.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_PARIDADE_LOVABLE_VS_SELFHOSTED_2026-07-04.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDITORIA_ZAPP_SCHEMA_DASHBOARD_2026-07-04.html;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_MIGRATION_VS_DB_50_STEPS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_PORTAINER_50_ETAPAS_VALIDACAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_REPORT_2026-08-06.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_RUNBOOK_FASE2_RESULTS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/AUDIT_VALIDATION_50_STEPS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/BOUNDARY-evolution.md;"FICA;REVISAR";Doc canonico da fronteira pos-split (2026-08-12/13) com 18 links de entrada, 'I1=0 aceitos (usa nomenclatura P1-P4, nao menciona I1), bridges: sim (1 mencao - ADR-004 bridge webhook, nao bridge views), reconciler: nao' -> nao reflete indicadores I1/reconciler usados nos docs decouple (BOUNDARY_AUDIT;DECOUPLING.md, docs/API_CONTRACT.md, docs/architecture/evolution-api-mapping.md, docs/db/adrs/ADR-DB-002-fronteira-zapp-evo.md, docs/db/EXTERNAL-DEPENDENCIES.md, docs/decisions/ADR-006-two-backend-boundary.md, docs/decouple/AUDITORIA_INDEPENDENCIA_20260815.md, docs/decouple/DOC_UPDATE_ORCHESTRATION_;docs/BOUNDARY-evolution.md;E29
docs/CHANGELOG_SESSIONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/CHAOS_ENGINEERING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/COMPLETE_SYSTEM_FEATURES.md;FICA;doc estrutural — revisao Fase 3;;;
docs/CONTRACT_TESTING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/CREDENTIAL-MAP.md;FICA;doc estrutural — revisao Fase 3;;;
docs/CREDENTIAL_INVENTORY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DATABASE_SCHEMA_RULES.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DATABASE_TABLES_INVENTORY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DB_HEALTH_AUDIT_2026-07-30.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DB_OPTIMIZATION_REPORT_2026-07-30.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DECISAO_INGESTAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DECISION-repo-oc05-legados.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DECISION.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DEPLOYMENT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DEPLOYMENT_GUIDE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DEPLOY_GUIDE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DEPLOY_PRODUCAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/DOCUMENTATION_CONVENTIONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/EDGE_CONTRACT_VALIDATION.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ENV_SETUP.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ER_DIAGRAM.md;FICA;doc estrutural — revisao Fase 3;;;
docs/EVOLUTION_API_AUDIT_2026-07-03.md;"ARQUIVA;REVISAR";Auditoria histórica sessão 1 (2026-07-03), todos os 8 consumidores são docs da mesma série de auditoria (followup, scorecard, sessao3/4/6, 07-10 sessao5/8 tabela índice), zero refs em EVOLUTION_API_REFERENCE/API_CONTRACT/AGENT_INSTRUCTIONS, src/, scripts/ ou .github/ [R2: consumidor encontrado: docs;docs/EVOLUTION_API_AUDIT_2026-07-04_followup.md, _scorecard.md, _sessao3.md, _sessao4.md, 2026-07-05_sessao6.md, 2026-07-10_sessao5.md:447, 2026-07-10_sessao8.md:448 (todos mesma série histórica);docs/_archive/EVOLUTION_API_AUDIT_2026-07-03.md;E13
docs/EVOLUTION_API_AUDIT_2026-07-04_followup.md;"ARQUIVA;REVISAR";Auditoria de acompanhamento sessão 2 (2026-07-04), consumidores apenas docs irmãos da série (07-03, scorecard, sessao3/4), nenhum consumidor vivo em REFERENCE/API_CONTRACT/src/scripts/.github [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-03.md, docs/EVOLUTION_API_AUDIT_2026-07-04_scor;docs/EVOLUTION_API_AUDIT_2026-07-03.md:336, _scorecard.md:7, _sessao3.md:12, _sessao4.md:12 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_followup.md;E13
docs/EVOLUTION_API_AUDIT_2026-07-04_scorecard.md;"ARQUIVA;REVISAR";Scorecard final sessão 3 (2026-07-04), consumidores apenas sessao4, sessao5 e 07-05_sessao6_webhook-eventos-glitchtip (todas da série de auditoria), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md, docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md, docs/EV;docs/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md:14, _sessao5.md:14, 2026-07-05_sessao6_webhook-eventos-glitchtip.md:21 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_scorecard.md;E14
docs/EVOLUTION_API_AUDIT_2026-07-04_sessao3.md;"ARQUIVA;REVISAR";Auditoria exaustiva sessão 3 (2026-07-04), consumidores apenas sessao4, sessao5, EXECUCAO_sessao4 e tabelas índice dos docs 07-10_sessao5/sessao8, sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md, docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md, docs/EVOL;docs/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md:13, _sessao5.md:11, EXECUCAO_2026-07-04_sessao4.md:6, 07-10_sessao5.md:448, 07-10_sessao8.md:449 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_sessao3.md;E14
docs/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md;"ARQUIVA;REVISAR";Auditoria noturna sessão 4 (2026-07-04), consumidores apenas sessao5, EXECUCAO_sessao5_infra e tabelas índice 07-10_sessao5/sessao8 (mesma série), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md, docs/EVOLUTION_API_AUDIT_2026-07-10_sessao5.md, docs/EVOL;docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md:12, EXECUCAO_2026-07-04_sessao5_infra.md:19, 07-10_sessao5.md:449, 07-10_sessao8.md:450 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_sessao4.md;E15
docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md;"ARQUIVA;REVISAR";Auditoria sessão 5 manhã (2026-07-04), consumidores apenas 07-05_sessao6_webhook-eventos-glitchtip e EXECUCAO_sessao5_infra (mesma série), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md, docs/EVOLUTION_API_EXECUCAO_2026-07-04_;docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md:22, EXECUCAO_2026-07-04_sessao5_infra.md:18 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md;E16
docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5_wpp2.md;"ARQUIVA;REVISAR";Auditoria conexão WPP2 sessão 5 (2026-07-04), consumidores apenas 07-05_sessao6_webhook, 07-05_sessao7 e EXECUCAO_sessao5 (mesma série), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md, docs/EVOLUTION_API_AUDIT_2026-07-05_sessa;docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md:23, 2026-07-05_sessao7.md:22, EXECUCAO_2026-07-04_sessao5.md:5 (mesma série);docs/_archive/EVOLUTION_API_AUDIT_2026-07-04_sessao5_wpp2.md;E16
docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6.md;"ARQUIVA;REVISAR";Relatório de sessão de auditoria histórica (banner 'DOCUMENTO HISTÓRICO', achados S6-1..N já corrigidos/tratados em 2026-07-05) sem consumidor vivo: únicos links são dos próprios docs-irmãos de auditoria EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md:4 e EVOLUTION_API_AUDIT_2026;['docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md:4 (link)', 'docs/EVOLUTION_API_AUDIT_2026-07-05_sessao7.md:7,23 (links)'];docs/_archive/EVOLUTION_API_AUDIT_2026-07-05_sessao6.md;E17
docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md;"ARQUIVA;REVISAR";Relatório de sessão com correções já aplicadas e verificadas (drift de inscrição 15->26 eventos, restart GlitchTip, paridade do webhook secret), não é o contrato vivo de ingestão (esse vive em EVOLUTION_API_REFERENCE.md, que não linka sessoes) e seu único consumidor é docs/decouple/VAULT_DEDUP_ANALY;['docs/decouple/VAULT_DEDUP_ANALYSIS.md:79,143,162 (citações de evidência, artefato fase-3 EXECUTADO)'];docs/_archive/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md;E17
docs/EVOLUTION_API_AUDIT_2026-07-05_sessao7.md;"ARQUIVA;REVISAR";Relatório de sessão de auditoria histórica (banner 'DOCUMENTO HISTÓRICO', 9 achados de 2026-07-05, correções aplicadas ou gated) sem NENHUM consumidor em docs/ (grep do basename só retorna o próprio arquivo), sucessor ONDA4 não referencia. [R2: consumidor encontrado: supabase/functions/whatsapp-clou;nenhum;docs/_archive/EVOLUTION_API_AUDIT_2026-07-05_sessao7.md;E18
docs/EVOLUTION_API_AUDIT_2026-07-10_sessao5.md;EXCLUI;Duplicado com canônico identificado: diff vs EVOLUTION_API_AUDIT_2026-07-10_sessao8.md mostra conteúdo ~idêntico (456 linhas, diferenças só no título 'Sessão 5'->'Sessão 8 — Validação Pós-S4', nota de sessões anteriores, redação de target_jid/URL do webhook e rodapé) — sessao8 é a versão renomeada e;nenhum;;E18
docs/EVOLUTION_API_AUDIT_2026-07-10_sessao8.md;ARQUIVA;Relatório de validação pós-S4 (13/13 correções confirmadas, 2026-07-10) sem consumidor em docs/ (grep do basename só retorna o próprio), versão canônica redigida do par sessao5/sessao8 — histórico com valor de registro.;nenhum;docs/_archive/EVOLUTION_API_AUDIT_2026-07-10_sessao8.md;E18
docs/EVOLUTION_API_AUDIT_2026-07-12_sessao10.md;ARQUIVA;Relatório de auditoria de infra VPS (3 stacks Evolution, 2026-07-12, gaps I-1..I-4 registrados para ação manual) sem consumidor em docs/ (grep só retorna o próprio arquivo), registro histórico da série, sucedido pela ONDA4.;nenhum;docs/_archive/EVOLUTION_API_AUDIT_2026-07-12_sessao10.md;E19
docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao4.md;"ARQUIVA;REVISAR";Execução de melhorias FMEA+9 itens sessão 4 (2026-07-04), consumidores apenas sessao5 audit, sessao5_wpp2 (tabela cronológica) e VALIDACAO_2026-07-10_sessao5 (todas da série), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md, docs/EVOLUTION_API_AUDIT_202;docs/EVOLUTION_API_AUDIT_2026-07-04_sessao5.md:13, _sessao5_wpp2.md:30, EVOLUTION_API_VALIDACAO_2026-07-10_sessao5.md:7 (mesma série);docs/_archive/EVOLUTION_API_EXECUCAO_2026-07-04_sessao4.md;E15
docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5.md;"ARQUIVA;REVISAR";Execução FMEA+8 itens sessão 5 trilha código (2026-07-04), único consumidor é EXECUCAO_sessao5_infra (mesma série, também sendo migrado/arquivado), sem consumidor vivo [R2: consumidor encontrado: docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5_infra.md];docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5_infra.md:8 (mesma série);docs/_archive/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5.md;E16
docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5_infra.md;MIGRA;Execução trilha INFRA/DB sessão 5 (GlitchTip, retenção _analytics, drift backups, secrets, registry, ghost alert) — dono é a infra Evolution, zero consumidores no zapp, NENHUM equivalente no clone evolution-stack (grep '11 workstreams'/'trilha INFRA/DB'/'sessao5_infra' sem hits em docs/ ou raiz);nenhum;docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5_infra.md;E16
docs/EVOLUTION_API_FMEA_2026-07-04.md;"MIGRA;REVISAR";FMEA é referência viva para operação da API Evolution, dono é a infra Evolution, não o zapp (pós-desacoplamento 2026-08-12). [R2: consumidor encontrado: docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md, docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5_infra.md];docs/AUDITORIA_EVOLUTION_API_ONDA4_20260808.md, docs/EVOLUTION_API_AUDIT_2026-07-04_scorecard.md, docs/EVOLUTION_API_AUDIT_2026-07-05_sessao6_webhook-eventos-glitchtip.md, docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao4.md, docs/EVOLUTION_API_EXECUCAO_2026-07-04_sessao5.md, docs/EVOLUTION_API_EXECUCA;evolution-stack/docs/EVOLUTION_API_FMEA.md;E20
docs/EVOLUTION_API_GAPS_ANALYSIS.md;ARQUIVA;Snapshot de 2026-04-12 (Evolution API v1.0.1) superseded: todos os gaps listados têm evidência de fechamento no repo (HMAC em supabase/functions/evolution-webhook e recheck-webhook-signature, DLQ+backoff em _shared/dlq-backoff.ts e enqueue-failed-message.ts, reconciliação em src/features/inbox/hooks;docs/EVOLUTION_API_AUDIT_2026-07-10_sessao5.md (sessão de auditoria histórica);docs/_archive/EVOLUTION_API_GAPS_ANALYSIS.md;E22
docs/EVOLUTION_API_REFERENCE.md;FICA;versao citada: Evolution API v2.x (2025) - doc.evolution-api.com/v2, contrato vivo com 8 links de entrada incluindo README.md e CLAUDE.md.;CLAUDE.md, README.md, docs/README.md, docs/WEBHOOK_EVENTS.md, docs/DOCUMENTATION_CONVENTIONS.md, docs/AUDIT_MIGRATION_VS_DB_50_STEPS.md, docs/decouple/DOC_UPDATE_ORCHESTRATION_20260814.md, docs/decouple/SIMULATION_SCENARIOS_20260814.md;docs/EVOLUTION_API_REFERENCE.md;E21
docs/EVOLUTION_API_VALIDACAO_2026-07-10_sessao5.md;ARQUIVA;Relatório de validação exaustiva 60/60 testes (2026-07-10, bug DLQ corrigido) sem consumidor em docs/ (grep do basename só retorna o próprio arquivo), histórico de auditoria com valor de registro.;nenhum;docs/_archive/EVOLUTION_API_VALIDACAO_2026-07-10_sessao5.md;E19
docs/EXECUCAO_MELHORIAS_EVO_2026-07-10.md;ARQUIVA;Registro histórico de execução de melhorias (2026-07-10), sem consumidor vivo.;.hermes/execucao-evo-20260806/E10-docs.md (artefato de plano de orquestração, não-doc vivo);docs/_archive/EXECUCAO_MELHORIAS_EVO_2026-07-10.md;E23
docs/EXECUCAO_MELHORIAS_PARIDADE_2026-07-04.md;FICA;doc estrutural — revisao Fase 3;;;
docs/EXHAUSTIVE_QA_FINAL_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/EXHAUSTIVE_VALIDATION_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/FE_BE_SYNC_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/FINAL_REPORT_10_10.md;FICA;doc estrutural — revisao Fase 3;;;
docs/FRONTEND_CONTRACT_AUDIT_2026-07-09.md;FICA;doc estrutural — revisao Fase 3;;;
docs/FUNCTIONALITIES_INVENTORY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/GOD_FILE_DECOMPOSITION.md;FICA;doc estrutural — revisao Fase 3;;;
docs/HANDOFF-LID-S14-20260811.md;FICA;doc estrutural — revisao Fase 3;;;
docs/HANDOFF_DOCUMENT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/HANDOFF_EVOLUTION_SECURITY_2026-04-12.md;"ARQUIVA;REVISAR";Handoff antigo (2026-04-12) superado pelo desacoplamento, unico link de entrada e SIMULATION_SCENARIOS_20260814.md (cenarios de simulacao, nao contrato vivo) -> historico em docs/_archive/. [R2: consumidor encontrado: docs/decouple/SIMULATION_SCENARIOS_20260814.md];docs/decouple/SIMULATION_SCENARIOS_20260814.md;docs/_archive/HANDOFF_EVOLUTION_SECURITY_2026-04-12.md;E28
docs/INCIDENT-2026-07-26-PIPELINE-SECURITY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INCIDENT-RUNBOOK.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INCIDENTE-EVOLUTION-20260806.md;"MIGRA;REVISAR";Registro de incidente da infra Evolution (wpp2 deslogado 05/08-06/08), dono é o evolution-stack, não o zapp. [R2: consumidor encontrado: .hermes/execucao-evo-20260806/E10-docs.md, docs/PLANO-B-BAILEYS-6.7.24.md, docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md];.hermes/execucao-evo-20260806/E10-docs.md, docs/PLANO-B-BAILEYS-6.7.24.md, docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md (também migrando), graphify-out/manifest.json (gerado);docs/INCIDENTE-EVOLUTION-20260806.md;E25
docs/INCIDENTE-MEDIA-BUCKET-20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INCIDENT_RUNBOOK.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INCIDENT_SECURITY_TOKEN_2026-07-26.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INFRA.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INTEGRATION_INVARIANTS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/INVENTARIO_INFRA.md;FICA;doc estrutural — revisao Fase 3;;;
docs/KONG_URL_ROOT_CAUSE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/LGPD-INCIDENTE-2026-07-26.md;FICA;doc estrutural — revisao Fase 3;;;
docs/LGPD_IMPACT_ASSESSMENT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/MCP_INVESTIGATION_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/MIGRACAO_SYNC_ZAPP_2026-07-01.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ONBOARDING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/OPERACAO_BUILD_DEPLOY_V3.md;FICA;doc estrutural — revisao Fase 3;;;
docs/PERFORMANCE_GUIDE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/PLANO-B-BAILEYS-6.7.24.md;FICA;doc estrutural — revisao Fase 3;;;
docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md;"MIGRA;REVISAR";Plano de correção da infra Evolution (100 etapas, rodada 2026-08-06) já concluído, dono é o evolution-stack, vai para docs/history/ no repo destino. [R2: consumidor encontrado: .hermes/auditoria-infra/AUDITORIA_TRACKING_EVO_20260806.md];.hermes/auditoria-infra/AUDITORIA_TRACKING_EVO_20260806.md, docs/audits/HANDOFF_REVISAO_BACKLOG.md, INDICE_ACHADOS.md, PLANO_IMPLEMENTACAO_100.md, PROMPT_AGENTE_LOCAL_CORRECAO.md, PROMPT_ETAPA_2.md, PROMPT_ETAPA_3.md, PROMPT_LOTE_C_F7.md, RELATORIO_CORRECAO.md, docs/SCHEMA_REFERENCE.md (menções nomi;docs/history/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md;E24
docs/PORTAINER_ZAPP_FOOTPRINT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/QA_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/QA_REPORT_2026-07-22.md;FICA;doc estrutural — revisao Fase 3;;;
docs/QA_REPORT_V2.md;FICA;doc estrutural — revisao Fase 3;;;
docs/README.md;FICA;doc estrutural — revisao Fase 3;;;
docs/REALTIME-CHANNELS-INVENTORY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/REFACTORING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/REFACTOR_PLAN.md;FICA;doc estrutural — revisao Fase 3;;;
docs/REMEDIACAO_EVO_API_2026-07-12.md;ARQUIVA;Execução de remediação da auditoria de 2026-07-12, histórico concluído sem contrato vivo, vai para docs/_archive/.;.hermes/execucao-evo-20260806/E10-docs.md, graphify-out/manifest.json (gerado);docs/_archive/REMEDIACAO_EVO_API_2026-07-12.md;E27
docs/RETRO_PLANO_100_ETAPAS_20260805.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RETRO_PLANO_30_ETAPAS_20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RLS-AUDIT-MATRIX.md;FICA;doc estrutural — revisao Fase 3;;;
docs/ROADMAP_10_10.md;FICA;doc estrutural — revisao Fase 3;;;
