version,filename,file_present,db_record,db_name,bucket,action,risk,in_snapshot,source,evidence
20260805103705,20260805103705_apply_missing_140100_policies.sql,yes,yes,apply_missing_140100_policies,B2,ARCHIVE,LOW,yes,agent,20260805103705	20260805103705_apply_missing_140100_policies.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron 
20260805104043,20260805104043_harden_evo_insert_policies.sql,yes,yes,harden_evo_insert_policies,B2,ARCHIVE,LOW,yes,agent,20260805104043	20260805104043_harden_evo_insert_policies.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron sem
20260805105924,20260805105924_grant_lgpd_auth_rpcs.sql,yes,yes,grant_lgpd_auth_rpcs,B2,ARCHIVE,LOW,yes,agent,20260805105924	20260805105924_grant_lgpd_auth_rpcs.sql	B2	ARCHIVE	baixo	0	db_record=yes | policies/grants/cron sem objet
20260805120000,20260805120000_fix_update_contact_note_rpc.sql,yes,yes,fix_update_contact_note_rpc,B2,ARCHIVE,LOW,yes,agent,20260805120000	20260805120000_fix_update_contact_note_rpc.sql	B2	ARCHIVE	baixo	1	db_record=yes | 1/1 objetos no snapshot
20260805120001,20260805120001_leakproof_privileged_check.sql,yes,yes,leakproof_privileged_check,B2,ARCHIVE,LOW,yes,agent,20260805120001	20260805120001_leakproof_privileged_check.sql	B2	ARCHIVE	low	yes	zapp.current_user_is_privileged() c/ LEA
20260805120407,20260805120407_revoke_auth_edge_rpcs.sql,yes,yes,revoke_auth_edge_rpcs,B2,ARCHIVE,LOW,yes,agent,20260805120407	20260805120407_revoke_auth_edge_rpcs.sql	B2	ARCHIVE	low	yes	REVOKE EXECUTE ON ALL FUNCTIONS zapp FROM ano
20260805120436,20260805120436_guard_admin_bulk_rpcs.sql,yes,yes,guard_admin_bulk_rpcs,B2,ARCHIVE,LOW,yes,agent,20260805120436	20260805120436_guard_admin_bulk_rpcs.sql	B2	ARCHIVE	low	yes	REVOKE EXECUTE em 8 funções bulk/admin/cron d
20260805121000,20260805121000_wave2_perf_security.sql,yes,yes,wave2_perf_security,B2,ARCHIVE,MED,yes,agent,20260805121000	20260805121000_wave2_perf_security.sql	B2	ARCHIVE	medium	yes	Índices event_type + fn_create_monthly_parti
20260805130000,20260805130000_harden_audit_tables_rls.sql,yes,yes,harden_audit_tables_rls,B2,ARCHIVE,LOW,yes,agent,20260805130000	20260805130000_harden_audit_tables_rls.sql	B2	ARCHIVE	low	yes	RLS policies hmac_selftest_audit/instance_a
20260805140000,20260805140000_fix_contact_editing_rpcs.sql,yes,yes,fix_contact_editing_rpcs,B2,ARCHIVE,MED,yes,agent,20260805140000	20260805140000_fix_contact_editing_rpcs.sql	B2	ARCHIVE	medium	yes	Cria/atualiza update_contact_versioned;
20260805150000,20260805150000_fix_null_guard_whatsapp_mode.sql,yes,yes,fix_null_guard_whatsapp_mode,B2,ARCHIVE,LOW,yes,agent,20260805150000	20260805150000_fix_null_guard_whatsapp_mode.sql	B2	ARCHIVE	low	yes	CREATE OR REPLACE rpc_set_whatsapp_mod
20260805152318,,no,yes,,B5a,BACKFILL-FILE,HIGH,,orfao,Vivos no snapshot: FUNCTION:public.rpc_get_contact;FUNCTION:public.rpc_get_contact;FUNCTION:public.rpc_get_contact;FUNCT
20260805152911,,no,yes,,B5a,BACKFILL-FILE,HIGH,,orfao,Vivos no snapshot: FUNCTION:zapp.messages_update_trigger
20260805154132,,no,yes,,B5b,TOMBSTONE,LOW,,orfao,SEM-ARQUIVO-NO-GIT — sem objeto a backfill
20260805160000,20260805160000_harden_rpc_schema_whitelist.sql,yes,yes,harden_rpc_schema_whitelist,B2,ARCHIVE,LOW,yes,agent,20260805160000	20260805160000_harden_rpc_schema_whitelist.sql	B2	ARCHIVE	low	yes	rpc_schema_tables/rpc_schema_columns c/
20260805170000,20260805170000_rpc_contract_inventory.sql,yes,yes,rpc_contract_inventory,B2,ARCHIVE,LOW,yes,agent,20260805170000	20260805170000_rpc_contract_inventory.sql	B2	ARCHIVE	low	yes	zapp.rpc_contract_inventory() — 1 hit no sna
20260805170001,20260805170001_email_attachments_unique_constraint.sql,yes,yes,email_attachments_unique_constraint,B2,ARCHIVE,LOW,yes,agent,20260805170001	20260805170001_email_attachments_unique_constraint.sql	B2	ARCHIVE	low	yes	UNIQUE constraint em email_app.
20260805170002,20260805170002_revoke_anon_contract_inventory.sql,yes,yes,revoke_anon_contract_inventory,B2,ARCHIVE,LOW,yes,agent,20260805170002	20260805170002_revoke_anon_contract_inventory.sql	B2	ARCHIVE	low	yes	REVOKE EXECUTE rpc_contract_inventor
20260805180000,20260805180000_revoke_meme_favorite_2arg_authenticated.sql,yes,yes,revoke_meme_favorite_2arg_authenticated,B3,ARCHIVE,LOW,yes,agent,20260805180000	20260805180000_revoke_meme_favorite_2arg_authenticated.sql	B3	ARCHIVE	low	yes	REVOKE EXECUTE fn_toggle_us
20260805180532,20260805180532_fix_pgrst204_agent_id_evolution_messages.sql,yes,yes,fix_pgrst204_agent_id_evolution_messages,B2,ARCHIVE,LOW,no,agent,20260805180532	20260805180532_fix_pgrst204_agent_id_evolution_messages.sql	B2	ARCHIVE	low	no	DO block — verifica que evo
20260805181000,20260805181000_fix_fn_edge_fn_staleness_check.sql,yes,yes,fix_fn_edge_fn_staleness_check,B2,ARCHIVE,LOW,no,agent,20260805181000	20260805181000_fix_fn_edge_fn_staleness_check.sql	B2	ARCHIVE	low	no	CREATE OR REPLACE ops.fn_edge_fn_stal
20260805183000,20260805183000_grant_health_score_reassign_guarded.sql,yes,yes,grant_health_score_reassign_guarded,B2,ARCHIVE,MED,yes,agent,20260805183000	20260805183000_grant_health_score_reassign_guarded.sql	B2	ARCHIVE	medium	yes	CREATE OR REPLACE reassign_a
20260805190000,20260805190000_create_csat_tables.sql,yes,yes,create_csat_tables,B2,ARCHIVE,LOW,yes,agent,20260805190000	20260805190000_create_csat_tables.sql	B2	ARCHIVE	low	yes	CREATE TABLE csat_auto_config + csat_surveys + í
20260805193000,20260805193000_realtime_email_health_revalidation.sql,yes,yes,realtime_email_health_revalidation,B2,ARCHIVE,LOW,yes,agent,20260805193000	20260805193000_realtime_email_health_revalidation.sql	B2	ARCHIVE	low	yes	ALTER PUBLICATION supabase_realt
20260805213735,,no,yes,,B5b,TOMBSTONE,LOW,,orfao,Criados mas nao vivos: POLICY:service_role_bypass;POLICY:authenticated_select;POLICY:service_role_bypass;POLICY:authenti
20260805213957,,no,yes,,B5b,TOMBSTONE,LOW,,orfao,Operacao de performance — sem objeto a backfill
20260805214019,,no,yes,,B5b,TOMBSTONE,LOW,,orfao,GRANT — efeito ja aplicado; sem objeto a backfill
20260805220000,20260805220000_revive_logpatch_audit_view_trigger.sql,yes,yes,revive_logpatch_audit_view_trigger,B2,ARCHIVE,LOW,yes,agent,20260805220000	20260805220000_revive_logpatch_audit_view_trigger.sql	B2	ARCHIVE	low	yes	CREATE OR REPLACE views public/z
20260806090000,20260806090000_capture_rpc_get_contact_summary_batch.sql,yes,yes,capture_rpc_get_contact_summary_batch,B8,ARCHIVE,MED,yes,agent,20260806090000	20260806090000_capture_rpc_get_contact_summary_batch.sql	B8	CHECK_LINT	medium	yes	Aparece em b8_lint_file
20260806100000,,no,yes,,B5b,TOMBSTONE,LOW,,orfao,Operacao sem criacao de objeto permanente
20260806100001,20260806100001_harden_meme_favorite_2arg_guard.sql,yes,yes,harden_meme_favorite_2arg_guard,B2,ARCHIVE,LOW,yes,agent,20260806100001	20260806100001_harden_meme_favorite_2arg_guard.sql	B2	ARCHIVE	low	yes	CREATE OR REPLACE fn_toggle_user_me
20260806100002,20260806100002_fix_retry_stuck_messages_queued_status.sql,yes,yes,fix_retry_stuck_messages_queued_status,B2,ARCHIVE,MED,yes,agent,20260806100002	20260806100002_fix_retry_stuck_messages_queued_status.sql	B2	ARCHIVE	medium	yes	CREATE OR REPLACE fn_retr
20260806110000,20260806110000_revoke_anon_public_read_audio_messages.sql,yes,yes,revoke_anon_public_read_audio_messages,B2,ARCHIVE,MED,yes,agent,20260806110000	20260806110000_revoke_anon_public_read_audio_messages.sql	B2	ARCHIVE	medium	yes	Storage policies — cria a
20260806120000,20260806120000_db01_enqueue_message_dispatch.sql,yes,yes,db01_enqueue_message_dispatch,B2,ARCHIVE,MED,yes,agent,20260806120000	20260806120000_db01_enqueue_message_dispatch.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FUNCTION
20260806121000,20260806121000_db02_purge_api_key_logs.sql,yes,yes,db02_purge_api_key_logs,B3,ARCHIVE,MED,yes,agent,20260806121000	20260806121000_db02_purge_api_key_logs.sql	yes	B3	ARCHIVE - superseded	Superseded by 20260806121500_db02b
20260806121500,20260806121500_db02b_fix_return_purge_api_key_logs.sql,yes,yes,db02b_fix_return_purge_api_key_logs,B2,ARCHIVE,MED,yes,agent,20260806121500	20260806121500_db02b_fix_return_purge_api_key_logs.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FU
20260806122000,20260806122000_db03_register_instance.sql,yes,yes,db03_register_instance,B2,ARCHIVE,MED,yes,agent,20260806122000	20260806122000_db03_register_instance.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FUNCTION zapp.f
20260806123000,20260806123000_db04_validate_not_valid_checks.sql,yes,yes,db04_validate_not_valid_checks,B2,ARCHIVE,MED,yes,agent,20260806123000	20260806123000_db04_validate_not_valid_checks.sql	yes	B2	ARCHIVE	db_record=yes; 3x ALTER TABLE VALIDATE C
20260806124000,20260806124000_db05_grants_cron_observability.sql,yes,yes,db05_grants_cron_observability,B2,ARCHIVE,MED,yes,agent,20260806124000	20260806124000_db05_grants_cron_observability.sql	yes	B2	ARCHIVE	db_record=yes; GRANT SELECT ON cron.job;
20260806125000,20260806125000_fix_evo_percent_format.sql,yes,yes,fix_evo_percent_format,B2,ARCHIVE,MED,yes,agent,20260806125000	20260806125000_fix_evo_percent_format.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE de evo.fn_detec
20260806125500,20260806125500_db05b_ops_reference_integrity_guardrail.sql,yes,yes,db05b_ops_reference_integrity_guardrail,B3,ARCHIVE,MED,yes,agent,20260806125500	20260806125500_db05b_ops_reference_integrity_guardrail.sql	yes	B3	ARCHIVE - superseded	Superseded by 2026
20260806130000,20260806130000_fix_percent_format_class.sql,yes,yes,fix_percent_format_class,B2,ARCHIVE,MED,yes,agent,20260806130000	20260806130000_fix_percent_format_class.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE ops.fn_auto_u
20260806135729,20260806135729_criar_tabela_exclusoes_ranking.sql,yes,yes,criar_tabela_exclusoes_ranking,B2,ARCHIVE,MED,yes,agent,20260806135729	20260806135729_criar_tabela_exclusoes_ranking.sql	yes	B2	ARCHIVE	db_record=yes; CREATE TABLE IF NOT EXIST
20260806135751,20260806135751_atualizar_ranking_vendas_hoje_com_exclusoes.sql,yes,yes,atualizar_ranking_vendas_hoje_com_exclusoes,B2,ARCHIVE,MED,yes,agent,20260806135751	20260806135751_atualizar_ranking_vendas_hoje_com_exclusoes.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR RE
20260806140000,20260806140000_f2_34_retention_webhook_logs.sql,yes,yes,f2_34_retention_webhook_logs,B2,ARCHIVE,MED,yes,agent,20260806140000	20260806140000_f2_34_retention_webhook_logs.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FUNCTION 
20260806141000,20260806141000_f2_31_sync_messages_v2_orderby.sql,yes,yes,f2_31_sync_messages_v2_orderby,B2,ARCHIVE,MED,yes,agent,20260806141000	20260806141000_f2_31_sync_messages_v2_orderby.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FUNCTIO
20260806150000,20260806150000_db05c_guardrail_comment_aware.sql,yes,yes,db05c_guardrail_comment_aware,B2,ARCHIVE,MED,yes,agent,20260806150000	20260806150000_db05c_guardrail_comment_aware.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FUNCTION
20260806160000,20260806160000_revoke_anon_public_read_etiquetas_remessa.sql,yes,yes,revoke_anon_public_read_etiquetas_remessa,B2,ARCHIVE,MED,yes,agent,20260806160000	20260806160000_revoke_anon_public_read_etiquetas_remessa.sql	yes	B2	ARCHIVE	db_record=yes; DROP POLICY et
20260806170000,20260806170000_rb2_c1_policies_pii.sql,yes,yes,rb2_c1_policies_pii,B2,ARCHIVE,MED,yes,agent,20260806170000	20260806170000_rb2_c1_policies_pii.sql	yes	B2	ARCHIVE	db_record=yes; 16 DROP+CREATE POLICY em financeiro.
20260806170500,20260806170500_rb2_c4_drop_empty_evo_indexes.sql,yes,yes,rb2_c4_drop_empty_evo_indexes,B2,ARCHIVE,MED,yes,agent,20260806170500	20260806170500_rb2_c4_drop_empty_evo_indexes.sql	yes	B2	ARCHIVE	db_record=yes; 12x DROP INDEX IF EXISTS e
20260806171000,20260806171000_rb2_d1_backups_schema_expiry.sql,yes,yes,rb2_d1_backups_schema_expiry,B2,ARCHIVE,MED,yes,agent,20260806171000	20260806171000_rb2_d1_backups_schema_expiry.sql	yes	B2	ARCHIVE	db_record=yes; CREATE SCHEMA IF NOT EXISTS
20260806171500,20260806171500_rb2_c10_retention_jobs.sql,yes,yes,rb2_c10_retention_jobs,B2,ARCHIVE,MED,yes,agent,20260806171500	20260806171500_rb2_c10_retention_jobs.sql	yes	B2	ARCHIVE	db_record=yes; 3x cron.schedule (purge-webhook-a
20260806172000,20260806172000_rb2_a4_fix_lid_contamination_format.sql,yes,yes,rb2_a4_fix_lid_contamination_format,B2,ARCHIVE,MED,yes,agent,20260806172000	20260806172000_rb2_a4_fix_lid_contamination_format.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR REPLACE FU
20260806172500,20260806172500_rb2_c5_c6_audit_index_autovacuum.sql,yes,yes,rb2_c5_c6_audit_index_autovacuum,B2,ARCHIVE,MED,yes,agent,20260806172500	20260806172500_rb2_c5_c6_audit_index_autovacuum.sql	yes	B2	ARCHIVE	db_record=yes; DROP INDEX IF EXISTS id
20260806173000,20260806173000_rb2_a4b_verify_alert_delivery_sync_skip_locked.sql,yes,yes,rb2_a4b_verify_alert_delivery_sync_skip_locked,B2,ARCHIVE,MED,yes,agent,20260806173000	20260806173000_rb2_a4b_verify_alert_delivery_sync_skip_locked.sql	yes	B2	ARCHIVE	db_record=yes; CREATE OR
20260806173001,20260806173001_rb2_a8_logpatch_patch_mode.sql,yes,yes,rb2_a8_logpatch_patch_mode,B2,ARCHIVE,MED,yes,agent,20260806173001	20260806173001_rb2_a8_logpatch_patch_mode.sql	yes	evo.evolution_logpatch_audit; evo.v_logpatch_health	0	B
20260806173500,20260806173500_rb2_a4c_stagger_verify_alert_delivery_cron.sql,yes,yes,rb2_a4c_stagger_verify_alert_delivery_cron,B2,ARCHIVE,MED,yes,agent,20260806173500	20260806173500_rb2_a4c_stagger_verify_alert_delivery_cron.sql	yes	verify-alert-delivery-10min	0	B2	ARCHIV
20260806180000,20260806180000_fix_wa_rpc_execute_grants.sql,yes,yes,fix_wa_rpc_execute_grants,B2,ARCHIVE,MED,yes,agent,20260806180000	20260806180000_fix_wa_rpc_execute_grants.sql	yes	zapp.get_connection_instance; zapp.rpc_instance_stats; z
20260806180001,20260806180001_fix_v_logpatch_health_security_invoker.sql,yes,yes,fix_v_logpatch_health_security_invoker,B2,ARCHIVE,MED,yes,agent,20260806180001	20260806180001_fix_v_logpatch_health_security_invoker.sql	yes	evo.v_logpatch_health	0	B2	ARCHIVE
20260806182000,,no,yes,,B5a,BACKFILL-FILE,HIGH,,orfao,Vivos no snapshot: TYPE:zapp.warroom_alert_type;VIEW:public.warroom_alerts | Mortos: TABLE_BACKUP:zapp._warroom_alerts_b
20260806185000,20260806185000_rb2_onda3_views_drops.sql,yes,yes,rb2_onda3_views_drops,B2,ARCHIVE,MED,yes,agent,20260806185000	20260806185000_rb2_onda3_views_drops.sql	yes	evo.evolution_sentiment_alerts; evo.v_health_unified; zapp.e
20260806185500,20260806185500_rb2_d9_kpi_overview.sql,yes,yes,rb2_d9_kpi_overview,B2,ARCHIVE,MED,yes,agent,20260806185500	20260806185500_rb2_d9_kpi_overview.sql	yes	evo.v_kpi_overview	0	B2	ARCHIVE
20260806190000,20260806190000_bugfix_fn_verify_alert_delivery_v6.sql,yes,yes,bugfix_fn_verify_alert_delivery_v6,B2,ARCHIVE,MED,yes,agent,20260806190000	20260806190000_bugfix_fn_verify_alert_delivery_v6.sql	yes	ops.fn_verify_alert_delivery	0	B2	ARCHIVE
20260806190500,20260806190500_rb2_glitchtip_cleanup.sql,yes,yes,rb2_glitchtip_cleanup,B2,ARCHIVE,MED,yes,agent,20260806190500	20260806190500_rb2_glitchtip_cleanup.sql	yes	fn_get_401_payload; evo-401-feed	0	B2	ARCHIVE
20260806191000,20260806191000_bugfix_retention_naming_and_stale_expiry.sql,yes,yes,bugfix_retention_naming_and_stale_expiry,B2,ARCHIVE,MED,yes,agent,20260806191000	20260806191000_bugfix_retention_naming_and_stale_expiry.sql	yes	purge-webhook-audit-log-30d; idx_backup_m
20260806192000,20260806192000_bugfix_evolution_logpatch_audit_security_invoker.sql,yes,yes,bugfix_evolution_logpatch_audit_security_invoker,B2,ARCHIVE,MED,yes,agent,20260806192000	20260806192000_bugfix_evolution_logpatch_audit_security_invoker.sql	yes	idempotente; public.evolution_log
20260806193000,20260806193000_whatsapp_media_bucket_public.sql,yes,yes,whatsapp_media_bucket_public,B2,ARCHIVE,MED,yes,agent,20260806193000	20260806193000_whatsapp_media_bucket_public.sql	yes	auth_write_whatsapp_media; trg_guard_media_buckets_pu
20260806194000,20260806194000_audio_memes_bucket_public.sql,yes,yes,audio_memes_bucket_public,B2,ARCHIVE,MED,yes,agent,20260806194000	20260806194000_audio_memes_bucket_public.sql	yes	auth_write_audio_memes; public_read_audio_memes	0	B2	ARC
20260806195000,20260806195000_guard_media_buckets_public.sql,yes,yes,guard_media_buckets_public,B2,ARCHIVE,MED,yes,agent,20260806195000	20260806195000_guard_media_buckets_public.sql	yes	storage.fn_guard_media_buckets_public; trg_guard_media_
20260806200000,20260806200000_fix_grant_toggle_meme_favorite_2arg.sql,yes,yes,fix_grant_toggle_meme_favorite_2arg,B2,ARCHIVE,MED,yes,agent,20260806200000	20260806200000_fix_grant_toggle_meme_favorite_2arg.sql	yes	zapp.fn_toggle_user_meme_favorite	1	B2	ARCHIVE
20260806200001,20260806200001_bugfix_fn_verify_alert_delivery_v7.sql,yes,yes,bugfix_fn_verify_alert_delivery_v7,B2,ARCHIVE,MED,yes,agent,20260806200001	20260806200001_bugfix_fn_verify_alert_delivery_v7.sql	yes	ops.fn_verify_alert_delivery	0	B2	ARCHIVE
20260806200002,20260806200002_revoke_store_reset_token_from_authenticated.sql,yes,yes,revoke_store_reset_token_from_authenticated,B2,ARCHIVE,MED,yes,agent,20260806200002	20260806200002_revoke_store_reset_token_from_authenticated.sql	yes	zapp.store_reset_token	1	B2	ARCHIVE
20260806200100,20260806200100_fix_meme_favorite_race_condition_and_revoke_public.sql,yes,yes,fix_meme_favorite_race_condition_and_revoke_public,B2,ARCHIVE,MED,yes,agent,20260806200100	20260806200100_fix_meme_favorite_race_condition_and_revoke_public.sql	yes	uq_audio_meme_favorites_user_me
20260806203227,20260806203227_audit_fix_helper_guarda_app_user.sql,yes,yes,migration_20260806203227,B2,ARCHIVE,MED,yes,agent,20260806203227	20260806203227_audit_fix_helper_guarda_app_user.sql	yes	zapp.fn_require_app_user	2	B2	ARCHIVE
20260806203257,20260806203257_audit_fix_p0_guards_list_messages_global_search.sql,yes,yes,migration_20260806203257,B3,ARCHIVE,MED,yes,agent,20260806203257	20260806203257_audit_fix_p0_guards_list_messages_global_search.sql	yes	(GRANTs/REVOKEs only)	0	B3	ARCHIVE
20260806203333,20260806203333_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806203333,B2,ARCHIVE,MED,yes,agent,20260806203333	20260806203333_audit_fix_guardas_rpc_grupo_p0.sql	yes	(GRANTs/REVOKEs only)	0	B2	ARCHIVE
20260806203637,20260806203637_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806203637,B2,ARCHIVE,MED,yes,agent,20260806203637	20260806203637_audit_fix_guardas_rpc_grupo_p0.sql	yes	(GRANTs/REVOKEs only)	0	B7	RENAME/MERGE
20260806203714,20260806203714_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806203714,B2,ARCHIVE,MED,yes,agent,20260806203714	20260806203714_audit_fix_guardas_rpc_grupo_p0.sql	yes	(GRANTs/REVOKEs only)	0	B7	RENAME/MERGE
20260806204039,20260806204039_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806204039,B2,ARCHIVE,MED,no,agent,20260806204039	20260806204039_audit_fix_guardas_rpc_grupo_p0.sql	B2	Arquivo+db_record+1/1 refs no snapshot - ARCHIVE	yes
20260806204144,20260806204144_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806204144,B2,ARCHIVE,MED,no,agent,20260806204144	20260806204144_audit_fix_guardas_rpc_grupo_p0.sql	B2	Arquivo+db_record+1/1 refs no snapshot - ARCHIVE	yes
20260806204214,20260806204214_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806204214,B2,ARCHIVE,MED,no,agent,20260806204214	20260806204214_audit_fix_guardas_rpc_grupo_p0.sql	B2	Arquivo+db_record+1/1 refs no snapshot - ARCHIVE	yes
20260806204327,20260806204327_audit_fix_guardas_rpc_grupo_p0.sql,yes,yes,migration_20260806204327,B2,ARCHIVE,MED,no,agent,20260806204327	20260806204327_audit_fix_guardas_rpc_grupo_p0.sql	B2	Arquivo+db_record+1/1 refs no snapshot - ARCHIVE	yes
20260806204354,20260806204354_audit_fix_insert_message_overload2_delete_contact.sql,yes,yes,migration_20260806204354,B2,ARCHIVE,MED,no,agent,20260806204354	20260806204354_audit_fix_insert_message_overload2_delete_contact.sql	B2	Arquivo+db_record+3/3 refs no sna
20260806204413,20260806204413_audit_fix_policies_p1.sql,yes,yes,migration_20260806204413,B2,ARCHIVE,MED,no,agent,20260806204413	20260806204413_audit_fix_policies_p1.sql	B2	Arquivo+db_record+1/1 refs no snapshot - ARCHIVE	yes	migratio
20260806204441,20260806204441_audit_fix_secdef_search_path.sql,yes,yes,migration_20260806204441,B2,ARCHIVE,MED,no,agent,20260806204441	20260806204441_audit_fix_secdef_search_path.sql	B2	Arquivo+db_record+20/23 refs no snapshot - ARCHIVE	yes
