domain_id,domain_name,resource_id,resource_name,classification,layers,gaps,todos
2,Contatos / CRM,CTT-08,Vinculação empresa-contato,partial,"UI,DB:empresas,contatos",FK nem sempre preenchida na UI,
2,Contatos / CRM,CTT-09,Tags de contato,partial,DB:contact_tags,UI de gestão de tags ausente,
2,Contatos / CRM,CTT-10,Segmentação de contatos,partial,DB:contact_segments,UI de criação de segmentos ausente,
2,Contatos / CRM,CTT-11,Exportação de contatos,partial,RPC:export_user_data,Stub parcial — retorna apenas perfil básico,
2,Contatos / CRM,CTT-12,Sync bidirecional com CRM externo,partial,RPC:sync_to_crm,Stub — RAISE P0001,
2,Contatos / CRM,CTT-13,Histórico de interações por contato,suggested,,Sem view ou componente consolidado — apenas menção em TODO,
3,Mensagens / Templates / Campanhas,MSG-01,Respostas rápidas (quick replies),full,"UI,DB:quick_replies,hook",,
3,Mensagens / Templates / Campanhas,MSG-02,Templates WhatsApp (HSM),full,"UI,DB:whatsapp_templates,edge:evolution-templates",whatsapp_templates vazia — wpp2 desconectada,
3,Mensagens / Templates / Campanhas,MSG-03,Campanhas em massa,full,"UI,DB:campaigns,flag:campaigns_bulk=ON",,
3,Mensagens / Templates / Campanhas,MSG-04,Campanhas A/B,full,"UI,DB:ab_tests",,
3,Mensagens / Templates / Campanhas,MSG-05,Agendamento de mensagens,full,"UI,DB:scheduled_messages,edge:process-scheduled",,
3,Mensagens / Templates / Campanhas,MSG-06,Histórico de campanhas,full,"UI,DB:campaign_history",,
3,Mensagens / Templates / Campanhas,MSG-07,Templates de e-mail,partial,DB:email_templates,UI de criação limitada,
3,Mensagens / Templates / Campanhas,MSG-08,Personalização de templates (variáveis),partial,UI,Sem preview em tempo real das variáveis,
3,Mensagens / Templates / Campanhas,MSG-09,Relatório de campanhas,partial,DB:campaign_reports,UI parcial — falta gráfico de funil,
3,Mensagens / Templates / Campanhas,MSG-10,Opt-out automático (LGPD),partial,DB:contact_optout,Sem UI de gestão de opt-outs,
3,Mensagens / Templates / Campanhas,MSG-11,Envio de stickers,partial,"UI,storage:stickers",Sem suporte a stickers animados,
3,Mensagens / Templates / Campanhas,MSG-12,Envio de localização,partial,"UI,edge:send-location",Sem mapa interativo — apenas coords manuais,
4,Filas / SLA / Agentes,FIL-01,Gestão de filas (criação/edição),full,"UI,DB:queues,hook",,
4,Filas / SLA / Agentes,FIL-02,Configuração de SLA por fila,full,"UI,DB:sla_policies",,
4,Filas / SLA / Agentes,FIL-03,Dashboard de SLA (violações),full,"UI,RPC:rpc_sla_violations",,
4,Filas / SLA / Agentes,FIL-04,Gestão de agentes (status online),full,"UI,DB:profiles,realtime:zapp.profiles",,
4,Filas / SLA / Agentes,FIL-05,Capacidade por agente (carga máx),full,"UI,DB:agent_capacity",,
4,Filas / SLA / Agentes,FIL-06,Relatório de performance de agentes,full,"UI,RPC:rpc_agent_performance",,
4,Filas / SLA / Agentes,FIL-07,Distribuição automática de conversas,partial,cron:auto-distribute,Sem UI de configuração de regras de distribuição,
4,Filas / SLA / Agentes,FIL-08,Roteamento por habilidades (skill-based),partial,DB:queue_routing_rules,UI de configuração ausente,INBOX-14
4,Filas / SLA / Agentes,FIL-09,Pausas e ausências de agente,partial,"UI,DB:agent_availability",Sem integração com relógio de ponto,
4,Filas / SLA / Agentes,FIL-10,Horário de funcionamento (business hours),partial,DB:business_hours,UI de configuração parcial,
4,Filas / SLA / Agentes,FIL-11,Rebalanceamento de carga entre filas,partial,RPC:rpc_queue_rebalance_candidates,RPC callable mas sem UI manual de rebalanceamento,
5,Automações / Chatbot,AUT-01,NPS automático pós-atendimento,full,"cron,DB:nps_surveys,edge:trigger-nps",,
5,Automações / Chatbot,AUT-02,Chatbot L1 (respostas automáticas),partial,"DB:chatbot_flows,edge:chatbot-*",UI de edição de fluxo incompleta,
5,Automações / Chatbot,AUT-03,Follow-up automático,partial,DB:evolution_followup_rules,UI de configuração ausente,
5,Automações / Chatbot,AUT-04,Regras de automação (condição-ação),partial,DB:automation_rules,UI incompleta — construtor de regras parcial,AUTOMACOES-12
5,Automações / Chatbot,AUT-05,Alertas de sentiment negativo,partial,DB:sentiment_alerts,Sem UI de gestão de alertas,
5,Automações / Chatbot,AUT-06,Integração n8n (webhook out),partial,DB:n8n_webhooks,UI de criação de fluxos n8n ausente no produto,
5,Automações / Chatbot,AUT-07,Playbooks de atendimento,suggested,,Tabela `playbooks` existe mas sem UI ou edge function,
6,IA / Inteligência Artificial,AI-01,Sugestões de resposta por IA,full,"UI,flag:ai_suggestions_v2=ON,edge:ai-suggestions",,
6,IA / Inteligência Artificial,AI-02,Resumo automático de conversa,full,"UI,edge:summarize-conversation",,
6,IA / Inteligência Artificial,AI-03,Classificação de sentiment,full,"edge:sentiment-analysis,DB:sentiment_analysis",,
6,IA / Inteligência Artificial,AI-04,Extração de intenção (intent),full,edge:intent-classification,,
6,IA / Inteligência Artificial,AI-05,Base de conhecimento (RAG),full,"DB:ai.knowledge_base,edge:rag-*",,
6,IA / Inteligência Artificial,AI-06,Embeddings de mensagens,full,"DB:ai.message_embeddings,cron:embed-messages",,
6,IA / Inteligência Artificial,AI-07,Tradução automática de mensagens,partial,edge:translate-message,Sem UI de ativação por conversa,
6,IA / Inteligência Artificial,AI-08,Correção ortográfica por IA,partial,UI,Sem edge function dedicada — usa browser spellcheck,
6,IA / Inteligência Artificial,AI-09,Análise de performance de agente por IA,partial,RPC:get_latest_analysis,Stub parcial — retorna avg engagement_score apenas,
6,IA / Inteligência Artificial,AI-10,Transcrição de áudio (v1),partial,edge:transcribe-audio,v2 bloqueado por flag OFF,
6,IA / Inteligência Artificial,AI-11,Transcrição avançada (ElevenLabs),partial,edge:elevenlabs-transcribe,Flag `advanced_transcription` OFF,
7,E-mail / Gmail,EML-01,Autenticação OAuth Google,partial,RPC:initiate_gmail_oauth,Stub — RAISE P0001,EMAIL-OAUTH
7,E-mail / Gmail,EML-02,Listagem de e-mails recebidos,full,"UI,DB:email_app.email_threads",,
7,E-mail / Gmail,EML-03,Composição e envio de e-mail,full,"UI,edge:send-email",,
7,E-mail / Gmail,EML-04,Resposta a e-mail em thread,full,"UI,edge:reply-email",,
7,E-mail / Gmail,EML-05,Anexos em e-mail,full,"UI,storage:email-attachments",,
7,E-mail / Gmail,EML-06,Sincronização de caixa de entrada,full,"cron:sync-gmail,DB:email_threads",,
7,E-mail / Gmail,EML-07,Templates de e-mail,full,DB:email_templates,,
7,E-mail / Gmail,EML-08,Assinatura de e-mail,full,DB:email_signatures,,
7,E-mail / Gmail,EML-09,Filtros e regras de e-mail,full,DB:email_filters,,
7,E-mail / Gmail,EML-10,E-mail unificado no inbox,partial,DB:email_threads,UI unificada incompleta — tab separada no inbox,
7,E-mail / Gmail,EML-11,Busca de e-mails,partial,DB:email_threads,Sem fulltext search eficiente,
7,E-mail / Gmail,EML-12,Estrelar/arquivar e-mails,partial,DB:email_threads(flags),UI sem ação de arquivar,
7,E-mail / Gmail,EML-13,E-mail marketing (campanhas),partial,DB:campaigns,Sem editor visual de e-mail marketing,
7,E-mail / Gmail,EML-14,Rastreamento de abertura (pixel),partial,DB:email_tracking,Edge function de pixel ausente,
7,E-mail / Gmail,EML-15,Multi-conta de e-mail,partial,DB:email_accounts,UI de múltiplas contas limitada,
7,E-mail / Gmail,EML-16,Resposta automática por e-mail (autoresponder),partial,DB:autoresponders,Sem UI de criação de autoresponder,
7,E-mail / Gmail,EML-17,Integração com GSuite Admin,suggested,,Apenas menção em TODO sem implementação,
8,Voz / Áudio,VOZ-01,Gravação de áudio v1 (AudioRecorderV1),full,"UI,storage:audio-messages",,
8,Voz / Áudio,VOZ-02,Transcrição básica (Whisper v1),full,"edge:transcribe-audio,DB:audio_transcriptions",,
8,Voz / Áudio,VOZ-03,Gravação de áudio v2 (AudioRecorderV2),partial,UI:AudioRecorderV2,Flag `v2_audio_recorder` OFF (percentage=0),
8,Voz / Áudio,VOZ-04,VOIP/SIP (chamadas),partial,DB:voip_sessions,Flag ON mas UI de configuração SIP ausente,
8,Voz / Áudio,VOZ-05,Memes de áudio,partial,"UI,storage:audio-memes",Sem busca de memes — lista estática,
8,Voz / Áudio,VOZ-06,Voice changer (ElevenLabs),suggested,,Apenas menção em TODO — edge não confirmada,
8,Voz / Áudio,VOZ-07,Agente de voz (voice bot),suggested,,Apenas menção em edge functions list — sem UI ou config,
8,Voz / Áudio,VOZ-08,Transcrição avançada (ElevenLabs v2),suggested,,Flag `advanced_transcription` OFF — feature não ativa,
9,Evolution / WhatsApp,WPP-01,Conectar instância WA (QR code),full,"UI,edge:evolution-connect,DB:whatsapp_connections",,
9,Evolution / WhatsApp,WPP-02,Status de conexão em tempo real,full,"UI,realtime:zapp.whatsapp_connections",,
9,Evolution / WhatsApp,WPP-03,Envio de mensagens (texto mídia doc),full,"UI,edge:send-*-message",,
9,Evolution / WhatsApp,WPP-04,Recepção de mensagens via webhook,full,"edge:evolution-webhook,DB:webhook_events_processed",,
9,Evolution / WhatsApp,WPP-05,Estatísticas de instância,full,"RPC:rpc_instance_stats,grant:FIX-01",,
9,Evolution / WhatsApp,WPP-06,Resolução de instância por workspace,full,"RPC:rpc_resolve_whatsapp_instance,grant:FIX-01",,
9,Evolution / WhatsApp,WPP-07,Resolução por telefone,full,"RPC:rpc_resolve_instance_by_phone,grant:FIX-01",,
9,Evolution / WhatsApp,WPP-08,Info de conexão da instância,full,"RPC:get_connection_instance,grant:FIX-01",,
9,Evolution / WhatsApp,WPP-09,Lista de templates aprovados,full,"edge:evolution-templates,DB:whatsapp_templates",whatsapp_templates vazia — wpp2 desconectada (operacional),
9,Evolution / WhatsApp,WPP-10,Envio de template (HSM),full,"UI,edge:send-template",,
9,Evolution / WhatsApp,WPP-11,Multi-instância WA,partial,DB:instance_registry,UI de gestão multi-instância básica,
9,Evolution / WhatsApp,WPP-12,WhatsApp Business API (Cloud),partial,DB:wa_business_accounts,Sem UI de configuração Cloud API,
9,Evolution / WhatsApp,WPP-13,Catálogo de produtos WA,partial,DB:wa_product_catalog,Sem sincronização automática,
9,Evolution / WhatsApp,WPP-14,Botões e listas interativas,partial,edge:send-buttons,UI de criação de botões limitada,
9,Evolution / WhatsApp,WPP-15,Reações a mensagens (emoji),partial,"UI,edge:send-reaction",Sem picker de reações nativo,
9,Evolution / WhatsApp,WPP-16,Deletar mensagem enviada,partial,edge:delete-message,Sem confirmação do lado WA,
9,Evolution / WhatsApp,WPP-17,WhatsApp Flows,suggested,,DB:whatsapp_flows existe mas sem UI ou edge de criação,
9,Evolution / WhatsApp,WPP-18,WhatsApp Groups (gestão),suggested,,DB:whatsapp_groups existe mas sem UI de gestão,
9,Evolution / WhatsApp,WPP-19,Follow-up automático WA,suggested,,DB:evolution_followup_rules existe mas sem UI,
10,Integrações Externas,INT-01,Webhooks de entrada (recepção),full,"edge:*-webhook,DB:webhook_audit_log",,
10,Integrações Externas,INT-02,Webhooks de saída (dispatch),full,"DB:webhook_subscriptions,edge:dispatch-webhook",,
10,Integrações Externas,INT-03,Assinatura HMAC de webhooks,full,"DB:webhook_subscriptions(secret),edge:verify-signature",,
10,Integrações Externas,INT-04,Canal Instagram,partial,"flag:instagram=ON,DB:instagram_accounts",UI de conexão de canal incompleta,
10,Integrações Externas,INT-05,Canal Telegram,partial,"flag:telegram=ON,DB:telegram_bots",UI de configuração incompleta,
10,Integrações Externas,INT-06,Integração com n8n,partial,DB:n8n_webhooks,Sem UI de configuração de workflows n8n,
10,Integrações Externas,INT-07,Integração Sicoob (cobrança),suggested,,Tabelas e RPCs existem mas sem UI — legado/experimental,
10,Integrações Externas,INT-08,Integração Bitrix24,suggested,,Apenas menção em TODO,
10,Integrações Externas,INT-09,Integração PromoGifts,suggested,,Apenas menção em TODO,
11,Segurança / Compliance,SEC-01,Autenticação (Supabase Auth),full,"UI,supabase:auth",,
11,Segurança / Compliance,SEC-02,RBAC (papéis e permissões),full,"DB:user_roles,RPC:check_user_role",,
11,Segurança / Compliance,SEC-03,RLS em todas as tabelas zapp,full,RLS:100%_em_zapp,,
11,Segurança / Compliance,SEC-04,Auditoria de ações (audit_logs),full,"DB:audit_logs,trigger:audit_trigger",,
11,Segurança / Compliance,SEC-05,Auditoria de webhooks,full,DB:webhook_audit_log,,
11,Segurança / Compliance,SEC-06,Bloqueio geográfico (geo-block),full,"RPC:rpc_get_geo_block_config,DB:geo_block_config",,
11,Segurança / Compliance,SEC-07,Rate limiting de API,full,"edge:rate-limit,DB:rate_limit_configs",,
11,Segurança / Compliance,SEC-08,Expiração de sessões,full,supabase:auth(jwt_expiry),,
11,Segurança / Compliance,SEC-09,LGPD — exclusão de dados,full,RPC:rpc_gdpr_delete_user,,
11,Segurança / Compliance,SEC-10,LGPD — exportação de dados,full,RPC:export_user_data,Stub parcial — retorna apenas perfil básico,
11,Segurança / Compliance,SEC-11,SSO / SAML,partial,supabase:auth(sso),Sem UI de configuração de IdP,
11,Segurança / Compliance,SEC-12,2FA / MFA,partial,supabase:auth(mfa),Sem UI de ativação por usuário,
11,Segurança / Compliance,SEC-13,Alertas de ACL / anomalias,partial,DB:security_acl_alerts,Sem UI de visualização de alertas,
12,Dashboards / Analytics,DSH-01,Dashboard principal (resumo),full,"UI,RPC:rpc_dashboard_init",,
12,Dashboards / Analytics,DSH-02,Telemetria de conversas,full,"UI,RPC:rpc_telemetry_snapshot",,
12,Dashboards / Analytics,DSH-03,Insights de busca,full,"UI,DB:search_insights",,
12,Dashboards / Analytics,DSH-04,Snapshots de performance,full,"DB:performance_snapshots,cron:snapshot",,
12,Dashboards / Analytics,DSH-05,NPS surveys e resultados,full,"UI,DB:nps_surveys",,
12,Dashboards / Analytics,DSH-06,CSAT surveys,full,"UI,DB:csat_surveys,flag:csat=ON",,
12,Dashboards / Analytics,DSH-07,System health score,full,RPC:fn_system_health_score,,
12,Dashboards / Analytics,DSH-08,Disk baseline e uso de storage,full,"cron:disk-baseline,DB:disk_baseline_metrics",,
12,Dashboards / Analytics,DSH-09,SLA analytics (cumprimento),full,"UI,RPC:rpc_sla_analytics",,
12,Dashboards / Analytics,DSH-10,Metas (goals),partial,DB:goals_configurations,Widget de metas ausente no dashboard,DASHBOARD-05
12,Dashboards / Analytics,DSH-11,Relatórios agendados,partial,DB:scheduled_reports,Sem UI de configuração de agendamento,DASHBOARD-08
13,Notificações / Stickers / Emojis,NOT-01,Notificações push (in-app),full,"UI,DB:app_notifications,realtime:zapp.app_notifications",,
13,Notificações / Stickers / Emojis,NOT-02,Emojis customizados,full,"UI,storage:custom-emojis",,
13,Notificações / Stickers / Emojis,NOT-03,Stickers,full,"UI,storage:stickers",,
13,Notificações / Stickers / Emojis,NOT-04,Avatares de agentes,full,"UI,storage:avatars",,
13,Notificações / Stickers / Emojis,NOT-05,Memes de áudio (áudio memes),partial,"UI,storage:audio-memes",Sem busca ou categorias,
13,Notificações / Stickers / Emojis,NOT-06,Biblioteca de mídia unificada,partial,UI,Sem player inline para todos os tipos,
14,Admin / Configurações,ADM-01,Gestão de usuários,full,"UI:AdminPage,supabase:auth,DB:profiles",,
14,Admin / Configurações,ADM-02,Gestão de workspaces/tenants,full,"UI,DB:workspaces",,
14,Admin / Configurações,ADM-03,Configuração de departamentos,full,"UI,DB:departments",,
14,Admin / Configurações,ADM-04,Permissões por role,full,"UI,DB:user_roles,RPC:check_user_role",,
14,Admin / Configurações,ADM-05,Configuração de instâncias WA,full,"UI,DB:instance_registry",,
14,Admin / Configurações,ADM-06,Audit log de ações admin,full,"UI,DB:audit_logs",,
14,Admin / Configurações,ADM-07,Configurações gerais do sistema,full,"UI:SystemSettings,DB:system_settings",,
14,Admin / Configurações,ADM-08,Gestão de feature flags,full,"UI,DB:feature_flags",,
14,Admin / Configurações,ADM-09,Backup e restore (runbook),full,"cron:backup,infra:backup/README.md",,
14,Admin / Configurações,ADM-10,Página de health check interno,full,"UI:/admin/health,RPC:fn_system_health_score",,
14,Admin / Configurações,ADM-11,Logs de erro (dispatch_error_logs),full,"DB:dispatch_error_logs,realtime:zapp.dispatch_error_logs",,
14,Admin / Configurações,ADM-12,Onboarding de novo workspace,full,"UI,RPC:rpc_onboard_workspace",,
14,Admin / Configurações,ADM-13,Configuração de proxy / VPN,full,DB:proxy_configs,,
14,Admin / Configurações,ADM-14,Relatório de cobrança / billing,full,"UI,DB:financeiro.billing",,
14,Admin / Configurações,ADM-15,Planos e limites de uso,full,"UI,DB:subscription_plans",,
14,Admin / Configurações,ADM-16,Configuração de filas (avançado),partial,DB:queues,UI de configuração avançada incompleta,
14,Admin / Configurações,ADM-17,SSO — configuração de IdP,partial,supabase:auth(sso),Sem UI de gestão de provedores SSO,
14,Admin / Configurações,ADM-18,Design system / componentes internos,suggested,,Storybook mencionado mas não deployado,
15,Design System / Debug,DES-01,Componentes shadcn/ui,full,UI:src/components/ui/*,,
15,Design System / Debug,DES-02,Página de debug interno (/debug),full,"UI:/debug,feature:isAdminOrSupervisor",,
15,Design System / Debug,DES-03,Storybook de componentes,suggested,,Não deployado — apenas menção em TODO,
15,Design System / Debug,DES-04,Tema dark/light mode,suggested,,ThemeProvider existe mas alternância incompleta,
15,Design System / Debug,DES-05,Internacionalização (i18n),suggested,,Chaves i18n existem mas sem provider configurado — pt-BR hardcoded,
