camadas,confianca,descricao,dominio,em_uso,esforco,evidencias,id,o_que_falta,obs,recurso,status
"UI,edge,tabela/view",media,Foto do contato (avatar_url) exibida nos cards; sincronização em lote com WhatsApp via edge functions.,CONTATOS/CRM,sim,P,src/components/contacts/ContactCard.tsx (avatar_url) + src/features/inbox/hooks/useNewConversation.ts:144/196 e useInboxBulkActions.ts:140 (invoke 'batch-fetch-avatars') + edges batch-fetch-avatars e fetch-whatsapp-avatar DEPLOYADAS (edges_deployadas.txt) + zapp.contatos.avatar_url,CONTATOS-15,,"batch-fetch-avatars invocada em pontos do inbox (nova conversa, ações em lote); contatos sem avatar usam fallback (CompanyLogo/initials).",Avatar do contato,Full
"UI,rota,hook,tabela/view",alta,"Visão geral com estatísticas de agentes, contatos e filas na rota /dashboard",DASHBOARDS/NOTIFICACOES/INTEGRACOES,sim,P,"src/pages/ViewRouter.tsx:76 (dashboard: Views.DashboardView) + src/components/dashboard/DashboardView.tsx:58 (useDashboardData) + src/hooks/useDashboardData.ts:55,76,92 (.from('profiles'/'contacts'/'queues')) + zapp.profiles/zapp.contacts/zapp.queues (físicas, RLS) + db_uso: zapp.contatos=3236",DASHBOARD-01,,DashboardView renderizado via IndexContentConnected (src/pages/Index.tsx:32). Widgets com persistência em localStorage (useDashboardVisualizationManagement.ts:392).,Dashboard principal (visão geral),Full
"UI,hook,realtime,tabela/view",alta,Leaderboard de agentes com XP e atualizações via Realtime em zapp.agent_stats,DASHBOARDS/NOTIFICACOES/INTEGRACOES,sim,P,"src/features/dashboard/hooks/useDashboardVisualizationManagement.ts:687 (.from('agent_stats')), :738-740 (channel 'leaderboard-updates' postgres_changes zapp.agent_stats) + zapp.agent_stats FÍSICA na publication supabase_realtime (db_realtime.txt:22) + db_uso: zapp.agent_stats=19",DASHBOARD-02,,RealtimeDashboard (src/hooks/useRealtimeManagement.ts:27-31) também subscreve zapp.app_notifications. Realtime válido: agent_stats é tabela física publicada.,Métricas de atendimento em tempo real (leaderboard/XP),Full
"UI,hook,tabela/view,teste",alta,Metas diárias/semanais/mensais por agente com metas customizadas,DASHBOARDS/NOTIFICACOES/INTEGRACOES,nao,P,"src/components/dashboard/DashboardView.tsx:275 (GoalsDashboard) + src/components/dashboard/GoalsConfigDialog.tsx:74 + src/features/dashboard/hooks/useDashboardVisualizationManagement.ts:573-575 (.from('goals_configurations').eq('profile_id')) + src/hooks/useGoalsConfig.ts:66-67 (upsert onConflict profile_id,goal_type) + zapp.goals_configurations (db_tabelas_zapp.txt:78) + teste useGoalsDashboard.colors.test.ts",DASHBOARD-06,,Fio completo; tabela vazia (0 linhas em db_uso) — metas usam DEFAULT_GOALS até o agente configurar. Realtime goals: canal notifications:goals redirecionado p/ app_notifications (useNotificationManagement.ts:432-436).,Metas (goals) e configuração de alvos,Full
"UI,hook,tabela/view,storage,cron",alta,"Picker de figurinhas no chat com upload, categorias e favoritos",DASHBOARDS/NOTIFICACOES/INTEGRACOES,sim,P,"src/features/inbox/components/StickerPicker.tsx + src/hooks/sticker-picker/useStickerPicker.ts:86,155,239,347 (.from('stickers') CRUD + storage 'stickers') + zapp.stickers=873 / zapp.sticker_categories=29 (db_uso.txt) + zapp.mv_top_stickers=100 + cron refresh-top-stickers (db_crons.txt:7)",DASHBOARD-09,,"PersonalStickers (src/hooks/usePersonalStickers.ts:51,88) usa tabela 'stickers' + bucket 'stickers'. Biblioteca de mídia em Settings (MediaLibraryAdmin.tsx:36).","Stickers (picker, upload e biblioteca)",Full
"UI,hook,tabela/view,storage",alta,Emojis personalizados com upload no chat e biblioteca,DASHBOARDS/NOTIFICACOES/INTEGRACOES,nao,P,"src/features/inbox/components/CustomEmojiPicker.tsx:11,118 (useCustomEmojis) + src/features/emojis/hooks/useCustomEmojis.ts:50,128,164,237 (.from('custom_emojis') CRUD + storage) + zapp.custom_emojis (db_tabelas_zapp.txt:46, física) + from_calls_front.txt:53 (custom_emojis)",DASHBOARD-10,,Fio completo; tabela com 0 linhas (nenhum emoji customizado criado ainda). edge classify-emoji deployada (edges_deployadas.txt) usada p/ auto-tag no upload (teste MediaLibraryAdmin.test.tsx:1149).,Emojis customizados,Full
"UI,hook,RPC,tabela/view,realtime,edge,teste",alta,"Catálogo de áudios meme com favoritos, contagem de uso e classificação",DASHBOARDS/NOTIFICACOES/INTEGRACOES,sim,P,"src/features/inbox/components/chat/ChatInputToolbars.tsx:147 + src/components/team-chat/TeamChatInputArea.tsx:119 (AudioMemePicker) + src/hooks/useAudioManagement.ts:122-135 (RPC fn_list_audio_memes_for_user + fallback .from('audio_memes')), :152/:164 (channels audio-memes-catalog/favorites em zapp.audio_memes e zapp.audio_meme_favorites — ambas na publication db_realtime.txt:24-25), :331 (fn_increment_meme_use), :355 (fn_toggle_user_meme_favorite) + zapp.audio_memes=20, audio_meme_categories=12 (db_uso) + edge classify-audio-meme invoke (useAudioManagement.ts:258, AIGenerateDialog.tsx:80)",DASHBOARD-11,,RPCs fn_increment_meme_use/fn_toggle_user_meme_favorite presentes em rpc_calls_front.txt. Realtime em tabelas físicas publicadas — fio íntegro.,Memes de áudio,Full
"UI,hook,tabela/view,storage,edge",alta,Upload de avatar do perfil em storage + tabela de avatares admin,DASHBOARDS/NOTIFICACOES/INTEGRACOES,nao,P,"src/components/settings/AvatarUpload.tsx:39-48 (storage 'avatars' + updateProfileAvatarUrl→profiles.avatar_url) + src/hooks/useProfileAvatarMutations.ts:8 + zapp.avatars (db_tabelas_zapp.txt:18, física) lida em useAdminData.ts:214,282 + edge batch-fetch-avatars DEPLOYADA e invocada 3x (invoke_calls_front.txt:11)",DASHBOARD-12,,Tabela zapp.avatars vazia; _backup_avatar_urls_20260803=1066 (db_uso) sugere dump/migração recente. Fluxo ativo principal é storage+bucket + profiles.avatar_url.,Avatares (upload e galeria),Full
"UI,hook,edge,tabela/view",alta,Sincronização de leads/contatos/negócios com Bitrix24 via edge bitrix-api,DASHBOARDS/NOTIFICACOES/INTEGRACOES,sim,P,"src/components/integrations/BitrixIntegrationView.tsx:18,30 (useBitrixApi + invoke bitrix-api) + IntegrationsHub.tsx:9 (rota connections/integrations ViewRouter.tsx:82,96) + src/hooks/useBitrixApi.ts:12 (functions.invoke('bitrix-api')) + edge bitrix-api DEPLOYADA (edges_deployadas.txt) + evo.evolution_bitrix_field_mapping=11 linhas (db_uso.txt) + edge evolution-bitrix-sync deployada",DASHBOARD-14,,bitrix-api na allowlist de cron/alert do router (main/index.ts). Depende de credenciais externas Bitrix24 (fora do escopo do repo).,Integração Bitrix24 (CRM),Full
"UI,rota,hook,edge,teste",alta,Catálogo externo PromoGifts com busca/filtros e envio de produto no chat,DASHBOARDS/NOTIFICACOES/INTEGRACOES,n-a,P,"src/pages/ViewRouter.tsx:85 (catalog: Views.ProductManagement) + src/components/catalog/ExternalProductManagement.tsx + src/hooks/useExternalApiManagement.ts:989 (invoke('promogifts-catalog')) + edge promogifts-catalog DEPLOYADA (edges_deployadas.txt) + envio via evolution-api em src/features/business-logic/hooks/useBusinessLogicManagement.ts:258-307 + testes src/hooks/__tests__/useExternalCatalog.test.ts:256,635",DASHBOARD-15,,Dados vivem na API externa PromoGifts (sem tabela local); catálogo é bridge edge. Rota /catalog ativa.,Catálogo de produtos / PromoGifts,Full
"UI,rota,hook,tabela,realtime",alta,"Criar, listar, atualizar e excluir filas de atendimento.",FILAS/SLA/AGENTES,nao,P,"src/components/layout/sidebarNavConfig.ts:81 (nav 'Filas') -> src/pages/ViewRouter.tsx:79 (queues: QueuesView) + src/hooks/useQueues.ts:76,185,196 (from('queues') select/insert/delete) + realtime zapp.queues (useQueues.ts:140) + zapp.queues (db_tabelas_zapp.txt, RLS ok) + rotas /queue/:id e /queues/comparison (AppRoutes.tsx:112,120)",FILAS-01,,Tabela zapp.queues com 0 linhas em producao (db_uso.txt nao a lista) - dominio provisionado mas sem dados reais.,Filas CRUD,Full
"UI,hook,tabela,realtime",alta,Adicionar/remover agentes como membros de uma fila e listar membros com perfil.,FILAS/SLA/AGENTES,nao,P,src/hooks/useQueues.ts:78-79 (from('queue_members') select com join profiles) + :202-215 (insert/delete queue_members) + realtime zapp.queue_members (useQueues.ts:141) + zapp.queue_members em db_realtime.txt + consumido por TransferDialog (src/features/inbox/components/TransferDialog.tsx:39) e agentRepository (src/features/admin/data-access/agentRepository.ts:46),FILAS-02,,0 linhas em producao.,Membros de fila,Full
"UI,hook,tabela,realtime",alta,Contagem de contatos esperando por fila (waiting_count) e notificacao de posicao.,FILAS/SLA/AGENTES,nao,P,"src/hooks/useQueues.ts:80,114-125 (from('queue_positions') -> waiting_count) + realtime zapp.queue_positions (useQueues.ts:142) + zapp.queue_positions em db_realtime.txt + QueuePositionNotifier (src/features/inbox/components/QueuePositionNotifier.tsx:21,32) + datasource registry registra queue_positions (src/integrations/datasource/registry.ts:81)",FILAS-03,,Tabela zapp.queue_items (0 uso em src/functions) e alternativa morta; posicao real vem de queue_positions. 0 linhas.,Posicao na fila,Full
"UI,rota,hook,tabela",alta,Skills de agentes e requisitos de skill por fila para roteamento baseado em skill.,FILAS/SLA/AGENTES,nao,P,"UI src/components/settings/SkillBasedRoutingSettings.tsx (renderizado em SettingsView) + src/components/queues/QueueSlaPanel.tsx:62 (safeFrom('queue_skill_requirements').select('skill_name')) + src/hooks/settings/useSkillBasedRouting.ts:65,79,102,143 (CRUD agent_skills + queue_skill_requirements) + src/features/admin/hooks/useAdminManagement.ts:596 + zapp.agent_skills / zapp.queue_skill_requirements (db_tabelas_zapp.txt)",FILAS-05,,0 linhas nas duas tabelas.,Requisitos de skill / skills de agente,Full
"UI,hook,tabela,realtime",media,"Definir metas por fila (espera, tempo, atribuicao, msgs) e alertas de atingimento.",FILAS/SLA/AGENTES,nao,M,"UI QueueGoalsDialog + QueueAlertsDisplay (src/components/queues/QueuesView.tsx:185,240) + src/hooks/useQueueGoals.ts:40 (safeFrom('queue_goals').upsert) + useQueueGoalsManagement (src/hooks/useQueueManagement.ts:241,259) + useGoalNotifications (src/hooks/useGoalNotifications.ts:37, poll 5min + toasts) + realtime zapp.queue_goals (db_realtime.txt) + goals_configurations lido em src/features/dashboard/hooks/useDashboardVisualizationManagement.ts:573",FILAS-06,,"useGoalNotifications checa so a PRESENCA do limite (value: null em todos os checks, useGoalNotifications.ts:45-52) - alertas podem disparar sem medir valor real. 0 linhas em queue_goals.",Metas/objetivos de fila,Full
"UI,rota,hook,tabela",alta,"Configuracoes de SLA, regras de aplicacao e politicas por escopo.",FILAS/SLA/AGENTES,nao,P,"Rota /sla (AppRoutes.tsx:128) -> SLADashboard -> SLAConfigurationManager + SLARulesManager (src/components/queues/SLADashboard.tsx:2-3) + useSLAConfigurations (src/features/sla/hooks/useSLAConfigurations.ts:51,63,74,98,122 CRUD sla_configurations) + useSLARules (src/features/sla/hooks/useSLARules.ts:59,96,123,137,162 CRUD sla_rules) + useApplicableSLA (useApplicableSLA.ts:69,89) + zapp.sla_configurations / zapp.sla_rules (db_tabelas_zapp.txt)",FILAS-07,,"zapp.sla_policies e ORFA: so RLS SELECT admin (canonical_schema.sql:12469), zero uso em src/functions. 0 linhas em sla_configurations/sla_rules.",SLA policies/regras/configuracoes CRUD,Full
"UI,rota,hook,tabela,realtime",alta,"Metricas de SLA por conversa: primeira resposta, resolucao, status em risco/violado.",FILAS/SLA/AGENTES,nao,P,SLADashboard (route /sla) -> useSLAMetrics (src/features/sla/hooks/useSLAMetrics.ts:68 safeClient.from('conversation_sla')) + useSLAHistory features (useSLAHistory.ts:73) + realtime UPDATE zapp.conversation_sla no canal sla-breaches (src/features/sla/hooks/useSLANotifications.ts:81-88) + zapp.conversation_sla em db_realtime.txt + SLAMetricCards/SLAAgentTable (SLADashboard.tsx:19-20),FILAS-08,,conversation_sla ausente de db_uso.txt (0 linhas) - dashboards de SLA renderizam vazios em producao.,Status SLA da conversa (conversation_sla),Full
"UI,rota,hook,tabela",alta,Registro e resolucao de violacoes de SLA de entrega/leitura.,FILAS/SLA/AGENTES,sim,P,"SLADeliveryHistoryDashboard (src/pages/SLAHistory.tsx:3; src/features/sla/components/SLADeliveryHistoryDashboard.tsx:51,69 read/resolve sla_delivery_violations) + useSLADelivery (src/features/inbox/components/chat/hooks/useSLADelivery.ts:17 sla_delivery_rules) + SLADeliveryConfigSection (src/features/inbox/components/contact-details/SLADeliveryConfigSection.tsx:40,69,74 CRUD sla_delivery_rules) + zapp.sla_delivery_rules / zapp.sla_delivery_violations (db_tabelas_zapp.txt)",FILAS-09,,"UNICAS tabelas do dominio com dados reais: sla_delivery_rules=2, sla_delivery_violations=2 (db_uso.txt). zapp.sla_violations (generica) e ORFA: zero uso em src/functions.",Violacoes SLA (delivery),Full
"UI,rota,hook,tabela",alta,Historico de SLA por periodo e historico de alertas com resolucao.,FILAS/SLA/AGENTES,nao,P,Rota /sla/history (AppRoutes.tsx:136) -> SLAHistoryDashboard (src/features/sla/components/SLAHistoryDashboard.tsx) + rota /sla/alerts (AppRoutes.tsx:152) -> SLAAlertHistory page -> useSLAAlertHistory (src/features/sla/hooks/useSLAAlertHistory.ts:96 read sla_history + :97 resolve) + zapp.sla_history (db_tabelas_zapp.txt),FILAS-10,,sla_history com 0 linhas; historico de SLA em conversa deriva de conversation_sla (tambem 0).,Historico SLA,Full
"UI,rota,hook,edge,tabela,realtime,teste",alta,"Alertas in-app de SLA em risco/violado com dedupe 3 camadas, preferencias e encaminhamento externo.",FILAS/SLA/AGENTES,nao,P,"useSLAAlerts (src/features/sla/hooks/useSLAAlerts.ts:142,249,274 - invoke sla-alert-log-failure + sla-alert-forward) + edges deployados (edges_deployadas.txt: sla-alert-forward, sla-alert-log-failure, auto-escalate-sla) + SLAAlertPreferences page (src/pages/SLAAlertPreferences.tsx:87 -> useSLAAlertPreferences sla_alert_preferences) + SLAAlertHistory page (SLAAlertHistory.tsx:103) + realtime sla-breaches (useSLANotifications.ts:81) + testes (src/features/sla/hooks/__tests__/useSLANotifications.test.tsx, useSLACalculation.test.ts)",FILAS-11,,Cron de auto-escalate (warroom-alert-resolver-1min -> /functions/v1/auto-escalate-sla) e programado no canonical_schema.sql:247-254 mas AUSENTE dos 146 jobs live (db_crons.txt) - automacao de escalada nao roda.,Alertas SLA,Full
"UI,rota,hook,RPC,tabela",alta,Conceder/revogar visibilidade de agentes entre usuarios e filtrar por visibilidade.,FILAS/SLA/AGENTES,nao,P,"VisibilityGrantsManager (src/features/admin/components/VisibilityGrantsManager.tsx:57,114,137 CRUD agent_visibility_grants; renderizado em AdminView + RolesPage) + useVisibleAgents (src/features/admin/hooks/useVisibleAgents.ts:17 rpc get_visible_agent_ids; grant em archive/20260724000033:204) + zapp.agent_visibility_grants (db_tabelas_zapp.txt) + get_visible_agent_ids em rpc_calls_front.txt",FILAS-15,,0 linhas em agent_visibility_grants.,Visibilidade de agentes (RBAC),Full
"UI,rota,hook,tabela",alta,CRUD de departamentos e convites de membros para departamentos.,FILAS/SLA/AGENTES,nao,P,"Rota /admin/departments (src/components/routing/AdminRoutes.tsx:58) + useDepartmentsManagement (src/features/admin/hooks/useAdminManagement.ts:335,686,722,744 CRUD departments) + useActiveDepartments em team-chat (NewConversationDialog.tsx:43, TransferConversationDialog.tsx:34) + useDepartmentManagement (src/hooks/team-chat/useDepartmentManagement.ts:122,142,166 CRUD department_invitations) + zapp.departments / zapp.department_invitations (db_tabelas_zapp.txt)",FILAS-16,,0 linhas nas duas tabelas. departments tambem na allowlist do external-db-proxy (external-db-proxy/index.ts:184).,Departamentos e convites,Full
"UI,hook,edge",alta,Sugere respostas contextualizadas para o agente dentro do chat.,IA/VOZ/AUDIO,n-a,P,src/features/inbox/components/AISuggestions.tsx:54 (invoke ai-suggest-reply) + ChatInputToolbars.tsx:334 (render) + edge:ai-suggest-reply deployada (forward ai-router; supabase/functions/ai-suggest-reply/index.ts:19 contrato v1) + edge:ai-router deployada,IA-01,,"Caminho alternativo automation-suggest-reply usado por automações (useAutomations.ts:267). Resposta via LLM (ai-router), sem tabela própria.",Sugestão de resposta AI,Full
"UI,rota,edge,tabela",alta,Dashboard de previsão de risco de churn por contato com análise via IA.,IA/VOZ/AUDIO,sim,P,sidebarNavConfig.ts:93 (rota 'churn') + ViewRouter.tsx:112 + src/components/ai/ChurnPredictionDashboard.tsx:133 (invoke ai-churn-analysis) + edge:ai-churn-analysis deployada (forward action churn_analysis) + zapp.contact_intelligence=20541 linhas (db_uso),IA-02,,Estimativa local lê contacts/contact_intelligence; escrita via ai-router (update contacts).,Análise de churn,Full
"UI,rota,edge,tabela",media,Classifica conversas/tickets em categorias via IA.,IA/VOZ/AUDIO,nao,P,sidebarNavConfig.ts:94 (rota 'ticket-classifier') + ViewRouter.tsx:113 + src/components/ai/AutoTicketClassifier.tsx:139 (invoke ai-classify-tickets) + :87 (lê ai_conversation_tags) + edge:ai-classify-tickets deployada (forward classify_tickets),IA-03,,zapp.ai_conversation_tags com 0 linhas (ausente do db_uso) — sem dados reais persistidos ainda.,Classificação de tickets,Full
"UI,hook,edge,tabela,realtime",alta,Transcreve áudios de mensagens (Whisper) e gravações do gravador de voz.,IA/VOZ/AUDIO,sim,P,src/features/inbox/components/useAudioMessagePlayer.ts:148 (invoke ai-transcribe-audio) + useAudioRecorder.ts:188 e useAudioManagement.ts:945 (invoke speech-to-text) + edges ai-transcribe-audio/speech-to-text/audio-transcribe deployadas + zapp.whisper_files=2 linhas + realtime zapp.whisper_messages (db_realtime) + WhisperMode.tsx:56 (lê/insere whisper_messages),IA-04,,Uso mínimo (whisper_files=2). edge audio-transcribe (whisper direto) sem caller no front — candidata a remoção.,Transcrição de áudio,Full
"UI,rota,hook,edge,tabela,realtime",alta,"Dashboard de sentimento, alertas em tempo real e aba de sentimento na análise de conversa.",IA/VOZ/AUDIO,nao,P,sidebarNavConfig.ts:104 (rota 'sentiment') + SentimentAlertsDashboard.tsx:15 (useSentimentData lê conversation_analyses em useSentimentData.ts:82) + useSentimentAlerts.ts:25 (invoke sentiment-alert) + edge:sentiment-alert deployada + realtime sentiment-alerts-realtime -> zapp.sentiment_alerts (useRealtimeSentimentAlerts.ts:13 + db_realtime) + SentimentTab (ai-tools),IA-05,,zapp.sentiment_alerts e conversation_analyses com 0 linhas. edge evolution-sentiment deployada porém SEM caller no repo (evo.evolution_sentiment_analysis 0 linhas apesar de estar na publication 68) — caminho evo órfão.,Análise de sentimento,Full
"UI,hook,edge",alta,Melhora/reescreve a mensagem do agente com tom selecionado.,IA/VOZ/AUDIO,n-a,P,src/features/inbox/components/chat/AIEnhanceButton.tsx:54 + AIRewriteButton.tsx:44 (invoke ai-enhance-message) + ChatInputToolbars.tsx:141 / ChatInputArea.tsx:842 (render) + edge:ai-enhance-message deployada (forward enhance_message),IA-06,,Sem tabela própria (resposta LLM inline).,Enhance de mensagem,Full
"UI,hook,edge,tabela",media,Gera/lista tags automáticas por IA para contatos e exibe estatísticas.,IA/VOZ/AUDIO,nao,P,src/components/settings/AIAutoTagsConfig.tsx:1 (useAITagStats/useRetagRecentContacts) + SettingsView.tsx:186 (render) + useAIAutoTags.ts:19 (lê ai_conversation_tags) + :55 autoTag -> ai-router.ts:130 -> invoke ai-router (ai-router.ts:94) + edge:ai-auto-tag deployada (forward ai-router auto_tag),IA-08,,ai_conversation_tags com 0 linhas; escrita depende do ai-router (auto_tag) — sem dados reais.,Auto-tag de conversas (IA),Full
